date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-40.0,0.0,100.0,Safe R,-10.07,3.11,-10.16,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.07,0.52,45.5,-5.7,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-02,305,-40.0,0.0,100.0,Safe R,-10.07,3.11,-10.16,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.07,0.52,45.5,-5.7,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-03,304,-40.0,0.0,100.0,Safe R,-10.07,3.11,-10.16,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.07,0.52,45.5,-5.7,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-04,303,-40.0,0.0,100.0,Safe R,-10.09,3.04,-10.25,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.14,0.52,45.6,-5.4,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-05,302,-40.0,0.0,100.0,Safe R,-10.08,3.08,-10.2,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.1,0.52,45.6,-5.4,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-06,301,-40.0,0.0,100.0,Safe R,-10.08,3.08,-10.2,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.1,0.52,45.6,-5.4,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-07,300,-40.0,0.0,100.0,Safe R,-10.08,3.08,-10.2,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.1,0.52,45.6,-5.6,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-08,299,-40.0,0.0,100.0,Safe R,-10.08,3.08,-10.2,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.1,0.52,45.6,-5.5,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-09,298,-40.0,0.0,100.0,Safe R,-10.07,3.09,-10.18,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.09,0.52,45.6,-5.5,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2026-01-10,297,-40.0,0.0,100.0,Safe R,-10.07,3.09,-10.18,-12.6,-27.4,0.0,100.0,0.0,False,False,REP,,,0.0,0.0,80.0,,,0,,0.0,0,5714802,0,-8.09,0.52,45.6,-5.5,2.0,35.4,7.4,9.4,2.4,2.4,7.1,4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.8,9.8,7.8,11.8,5.1,4.1,4.1,3.1,2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
