date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,26.53,99.4,0.6,Safe D,21.69,3.18,26.53,16.7,9.84,63.27,36.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.35,-3.1,29.7,-37.1,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-02,305,26.53,99.4,0.6,Safe D,21.69,3.18,26.53,16.7,9.84,63.27,36.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.35,-3.1,29.7,-37.1,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-03,304,26.55,99.4,0.6,Safe D,21.69,3.19,26.55,16.7,9.85,63.27,36.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.36,-3.1,29.7,-37.1,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-04,303,26.47,99.4,0.6,Safe D,21.67,3.13,26.47,16.7,9.77,63.24,36.76,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.3,-3.1,29.8,-36.8,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.3,67.3,67.3,66.3,65.3,64.3,63.3,62.3,62.3,61.3,61.3,61.3,62.3,62.3,63.3,64.3
2026-01-05,302,26.52,99.4,0.6,Safe D,21.68,3.17,26.52,16.7,9.82,63.26,36.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.34,-3.1,29.8,-36.9,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-06,301,26.52,99.4,0.6,Safe D,21.68,3.17,26.52,16.7,9.82,63.26,36.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.34,-3.1,29.8,-36.9,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-07,300,26.52,99.4,0.6,Safe D,21.68,3.17,26.52,16.7,9.82,63.26,36.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.34,-3.1,29.8,-37.0,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-08,299,26.52,99.4,0.6,Safe D,21.68,3.17,26.52,16.7,9.82,63.26,36.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.34,-3.1,29.8,-37.0,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-09,298,26.52,99.4,0.6,Safe D,21.68,3.17,26.52,16.7,9.82,63.26,36.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.34,-3.1,29.8,-37.0,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-10,297,26.52,99.4,0.6,Safe D,21.68,3.17,26.52,16.7,9.82,63.26,36.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.34,-3.1,29.8,-37.0,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-11,296,26.5,99.4,0.6,Safe D,21.68,3.15,26.5,16.7,9.8,63.25,36.75,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.32,-3.1,29.8,-37.2,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-12,295,26.55,99.4,0.6,Safe D,21.69,3.19,26.55,16.7,9.85,63.27,36.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.36,-3.1,29.7,-37.3,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-13,294,26.52,99.4,0.6,Safe D,21.68,3.17,26.52,16.7,9.82,63.26,36.74,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.34,-3.1,29.6,-37.5,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-14,293,26.53,99.4,0.6,Safe D,21.69,3.18,26.53,16.7,9.84,63.27,36.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.35,-3.1,29.6,-37.4,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-15,292,26.56,99.4,0.6,Safe D,21.69,3.2,26.56,16.7,9.86,63.28,36.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.37,-3.1,29.6,-37.4,48.0,94.0,66.0,68.0,61.0,61.0,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-16,291,26.56,99.4,0.6,Safe D,21.69,3.2,26.56,16.7,9.86,63.28,36.72,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.37,-3.1,29.6,-37.5,48.0,94.0,66.0,68.0,61.0,61.0,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-17,290,26.61,99.4,0.6,Safe D,21.7,3.24,26.61,16.7,9.91,63.3,36.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.41,-3.1,29.6,-37.6,48.0,94.0,66.0,68.0,61.0,61.0,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-18,289,26.55,99.4,0.6,Safe D,21.69,3.19,26.55,16.7,9.85,63.27,36.73,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.36,-3.1,29.6,-37.5,47.9,93.9,65.9,67.9,60.9,60.9,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
2026-01-19,288,26.6,99.4,0.6,Safe D,21.7,3.23,26.6,16.7,9.9,63.3,36.7,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,20.4,-3.1,29.6,-37.4,48.0,94.0,66.0,68.0,61.0,61.0,69.5,66.5,61.5,58.5,58.5,59.5,59.5,63.8,58.8,60.8,61.8,67.8,73.8,71.8,75.8,68.4,67.4,67.4,66.4,65.4,64.4,63.4,62.4,62.4,61.4,61.4,61.4,62.4,62.4,63.4,64.4
