date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-38.41,0.0,100.0,Safe R,-39.92,3.18,-38.41,-39.08,0.67,30.8,69.2,0.0,False,False,,,,0.0,0.0,0.0,-36.02,58.9,21.2,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-02,305,-38.41,0.0,100.0,Safe R,-39.92,3.18,-38.41,-39.08,0.67,30.8,69.2,0.0,False,False,,,,0.0,0.0,0.0,-36.02,58.9,21.2,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-03,304,-38.4,0.0,100.0,Safe R,-39.92,3.19,-38.4,-39.08,0.68,30.8,69.2,0.0,False,False,,,,0.0,0.0,0.0,-36.01,58.9,21.2,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-04,303,-38.47,0.0,100.0,Safe R,-39.93,3.13,-38.47,-39.08,0.61,30.76,69.24,0.0,False,False,,,,0.0,0.0,0.0,-36.07,59.0,21.5,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.8,25.8,27.8,28.8,34.8,40.8,38.8,42.8,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-05,302,-38.42,0.0,100.0,Safe R,-39.92,3.17,-38.42,-39.08,0.66,30.79,69.21,0.0,False,False,,,,0.0,0.0,0.0,-36.03,59.0,21.4,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-06,301,-38.42,0.0,100.0,Safe R,-39.92,3.17,-38.42,-39.08,0.66,30.79,69.21,0.0,False,False,,,,0.0,0.0,0.0,-36.03,59.0,21.4,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-07,300,-38.42,0.0,100.0,Safe R,-39.92,3.17,-38.42,-39.08,0.66,30.79,69.21,0.0,False,False,,,,0.0,0.0,0.0,-36.03,59.0,21.3,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-08,299,-38.42,0.0,100.0,Safe R,-39.92,3.17,-38.42,-39.08,0.66,30.79,69.21,0.0,False,False,,,,0.0,0.0,0.0,-36.03,59.0,21.3,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-09,298,-38.42,0.0,100.0,Safe R,-39.92,3.17,-38.42,-39.08,0.66,30.79,69.21,0.0,False,False,,,,0.0,0.0,0.0,-36.03,59.0,21.4,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-10,297,-38.42,0.0,100.0,Safe R,-39.92,3.17,-38.42,-39.08,0.66,30.79,69.21,0.0,False,False,,,,0.0,0.0,0.0,-36.03,59.0,21.4,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-11,296,-38.45,0.0,100.0,Safe R,-39.93,3.15,-38.45,-39.08,0.63,30.78,69.22,0.0,False,False,,,,0.0,0.0,0.0,-36.05,58.9,21.2,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-12,295,-38.4,0.0,100.0,Safe R,-39.92,3.19,-38.4,-39.08,0.68,30.8,69.2,0.0,False,False,,,,0.0,0.0,0.0,-36.01,58.9,21.0,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-13,294,-38.42,0.0,100.0,Safe R,-39.92,3.17,-38.42,-39.08,0.66,30.79,69.21,0.0,False,False,,,,0.0,0.0,0.0,-36.03,58.8,20.8,21.8,67.8,39.8,41.8,34.8,34.8,37.9,34.9,29.9,26.9,26.9,27.9,27.9,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-14,293,-38.41,0.0,100.0,Safe R,-39.92,3.18,-38.41,-39.08,0.67,30.8,69.2,0.0,False,False,,,,0.0,0.0,0.0,-36.02,58.8,20.9,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-15,292,-38.38,0.0,100.0,Safe R,-39.92,3.2,-38.38,-39.08,0.69,30.81,69.19,0.0,False,False,,,,0.0,0.0,0.0,-36.0,58.8,20.9,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-16,291,-38.38,0.0,100.0,Safe R,-39.92,3.2,-38.38,-39.08,0.69,30.81,69.19,0.0,False,False,,,,0.0,0.0,0.0,-36.0,58.8,20.8,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-17,290,-38.33,0.0,100.0,Safe R,-39.91,3.24,-38.33,-39.08,0.74,30.83,69.17,0.0,False,False,,,,0.0,0.0,0.0,-35.96,58.7,20.7,21.9,67.9,39.9,41.9,34.9,34.9,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.8,34.8,34.8,33.8,32.8,31.8,30.8,29.8,29.8,28.8,28.8,28.8,29.8,29.8,30.8,31.8
2026-01-18,289,-38.4,0.0,100.0,Safe R,-39.92,3.19,-38.4,-39.08,0.68,30.8,69.2,0.0,False,False,,,,0.0,0.0,0.0,-36.01,58.8,20.8,21.8,67.8,39.8,41.8,34.8,34.8,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.7,34.7,34.7,33.7,32.7,31.7,30.7,29.7,29.7,28.7,28.7,28.7,29.7,29.7,30.7,31.7
2026-01-19,288,-38.35,0.0,100.0,Safe R,-39.91,3.23,-38.35,-39.08,0.73,30.83,69.17,0.0,False,False,,,,0.0,0.0,0.0,-35.97,58.8,20.9,21.9,67.9,39.9,41.9,34.9,34.9,38.0,35.0,30.0,27.0,27.0,28.0,28.0,30.9,25.9,27.9,28.9,34.9,40.9,38.9,42.9,35.8,34.8,34.8,33.8,32.8,31.8,30.8,29.8,29.8,28.8,28.8,28.8,29.8,29.8,30.8,31.8
