date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,environment,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,22.14,98.3,1.7,Safe D,17.3,3.18,22.14,14.16,7.98,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.88,35.2,-26.1,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-02,305,22.14,98.3,1.7,Safe D,17.3,3.18,22.14,14.16,7.98,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.88,35.2,-26.1,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-03,304,22.16,98.3,1.7,Safe D,17.3,3.19,22.16,14.16,8.0,61.08,38.92,0.0,False,False,,,,0.0,0.0,0.0,18.89,35.2,-26.1,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-04,303,22.08,98.2,1.8,Safe D,17.28,3.13,22.08,14.16,7.92,61.04,38.96,0.0,False,False,,,,0.0,0.0,0.0,18.83,35.3,-25.9,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-05,302,22.13,98.3,1.7,Safe D,17.29,3.17,22.13,14.16,7.97,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.87,35.3,-25.9,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-06,301,22.13,98.3,1.7,Safe D,17.29,3.17,22.13,14.16,7.97,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.87,35.3,-25.9,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-07,300,22.13,98.3,1.7,Safe D,17.29,3.17,22.13,14.16,7.97,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.87,35.3,-26.0,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-08,299,22.13,98.3,1.7,Safe D,17.29,3.17,22.13,14.16,7.97,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.87,35.3,-26.0,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-09,298,22.13,98.3,1.7,Safe D,17.29,3.17,22.13,14.16,7.97,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.87,35.3,-26.0,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-10,297,22.13,98.3,1.7,Safe D,17.29,3.17,22.13,14.16,7.97,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.87,35.3,-26.0,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-11,296,22.11,98.3,1.7,Safe D,17.29,3.15,22.11,14.16,7.95,61.05,38.95,0.0,False,False,,,,0.0,0.0,0.0,18.85,35.2,-26.2,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-12,295,22.16,98.3,1.7,Safe D,17.3,3.19,22.16,14.16,8.0,61.08,38.92,0.0,False,False,,,,0.0,0.0,0.0,18.89,35.2,-26.3,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-13,294,22.13,98.3,1.7,Safe D,17.29,3.17,22.13,14.16,7.97,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.87,35.1,-26.5,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-14,293,22.14,98.3,1.7,Safe D,17.3,3.18,22.14,14.16,7.98,61.07,38.93,0.0,False,False,,,,0.0,0.0,0.0,18.88,35.1,-26.4,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-15,292,22.17,98.3,1.7,Safe D,17.3,3.2,22.17,14.16,8.01,61.08,38.92,0.0,False,False,,,,0.0,0.0,0.0,18.9,35.1,-26.4,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-16,291,22.17,98.3,1.7,Safe D,17.3,3.2,22.17,14.16,8.01,61.08,38.92,0.0,False,False,,,,0.0,0.0,0.0,18.9,35.1,-26.5,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-17,290,22.22,98.3,1.7,Safe D,17.31,3.24,22.22,14.16,8.06,61.11,38.89,0.0,False,False,,,,0.0,0.0,0.0,18.94,35.1,-26.6,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-18,289,22.16,98.3,1.7,Safe D,17.3,3.19,22.16,14.16,8.0,61.08,38.92,0.0,False,False,,,,0.0,0.0,0.0,18.89,35.1,-26.5,53.8,98.0,71.8,73.8,66.8,66.8,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.0,65.0,65.0,64.0,63.0,62.0,61.0,60.0,60.0,59.0,59.0,59.0,60.0,60.0,61.0,62.0
2026-01-19,288,22.21,98.3,1.7,Safe D,17.31,3.23,22.21,14.16,8.05,61.1,38.9,0.0,False,False,,,,0.0,0.0,0.0,18.93,35.1,-26.5,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-20,287,22.31,98.3,1.7,Safe D,17.33,3.31,22.31,14.16,8.15,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.01,35.0,-26.7,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-21,286,22.31,98.3,1.7,Safe D,17.33,3.31,22.31,14.16,8.15,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.01,35.0,-26.6,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-22,285,22.33,98.4,1.6,Safe D,17.33,3.33,22.33,14.16,8.17,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.03,34.9,-26.8,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-23,284,22.34,98.4,1.6,Safe D,17.34,3.34,22.34,14.16,8.18,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.04,34.9,-26.8,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-24,283,22.34,98.4,1.6,Safe D,17.34,3.34,22.34,14.16,8.18,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.04,35.0,-26.8,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-25,282,22.27,98.3,1.7,Safe D,17.32,3.28,22.27,14.16,8.11,61.13,38.87,0.0,False,False,,,,0.0,0.0,0.0,18.98,34.9,-26.8,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-26,281,22.31,98.3,1.7,Safe D,17.33,3.31,22.31,14.16,8.15,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.01,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-27,280,22.31,98.3,1.7,Safe D,17.33,3.31,22.31,14.16,8.15,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.01,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-28,279,22.34,98.4,1.6,Safe D,17.34,3.34,22.34,14.16,8.18,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.04,34.9,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-29,278,22.33,98.4,1.6,Safe D,17.33,3.33,22.33,14.16,8.17,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.03,34.9,-27.0,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-30,277,22.34,98.4,1.6,Safe D,17.34,3.34,22.34,14.16,8.18,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.04,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-01-31,276,22.34,98.4,1.6,Safe D,17.34,3.34,22.34,14.16,8.18,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.04,34.9,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-01,275,22.24,98.3,1.7,Safe D,17.32,3.26,22.24,14.16,8.08,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.96,34.9,-26.9,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-02,274,22.23,98.3,1.7,Safe D,17.31,3.25,22.23,14.16,8.07,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.95,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-03,273,22.23,98.3,1.7,Safe D,17.31,3.25,22.23,14.16,8.07,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.95,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-04,272,22.23,98.3,1.7,Safe D,17.31,3.25,22.23,14.16,8.07,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.95,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-05,271,22.24,98.3,1.7,Safe D,17.32,3.26,22.24,14.16,8.08,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.96,34.8,-27.0,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-06,270,22.24,98.3,1.7,Safe D,17.32,3.26,22.24,14.16,8.08,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.96,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-07,269,22.24,98.3,1.7,Safe D,17.32,3.26,22.24,14.16,8.08,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.96,34.8,-27.1,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-08,268,22.23,98.3,1.7,Safe D,17.31,3.25,22.23,14.16,8.07,61.12,38.88,0.0,False,False,,,,0.0,0.0,0.0,18.95,34.6,-27.4,53.9,98.0,71.9,73.9,66.9,66.9,68.1,65.1,60.1,57.1,57.1,58.1,58.1,60.8,55.8,57.8,58.8,64.8,70.8,68.8,72.8,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-09,267,22.28,98.3,1.7,Safe D,17.32,3.29,22.28,14.16,8.12,61.14,38.86,0.0,False,False,,,,0.0,0.0,0.0,18.99,34.6,-27.4,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-10,266,22.31,98.3,1.7,Safe D,17.33,3.31,22.31,14.16,8.15,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.01,34.6,-27.4,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-11,265,22.32,98.4,1.6,Safe D,17.33,3.32,22.32,14.16,8.16,61.16,38.84,0.0,False,False,,,,0.0,0.0,0.0,19.02,34.6,-27.4,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-12,264,22.28,98.3,1.7,Safe D,17.32,3.29,22.28,14.16,8.12,61.14,38.86,0.0,False,False,,,,0.0,0.0,0.0,18.99,34.6,-27.5,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-13,263,22.29,98.3,1.7,Safe D,17.33,3.3,22.29,14.16,8.13,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.0,34.6,-27.4,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-14,262,22.29,98.3,1.7,Safe D,17.33,3.3,22.29,14.16,8.13,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.0,34.6,-27.4,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-15,261,22.28,98.3,1.7,Safe D,17.32,3.29,22.28,14.16,8.12,61.14,38.86,0.0,False,False,,,,0.0,0.0,0.0,18.99,34.6,-27.4,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-16,260,22.33,98.4,1.6,Safe D,17.33,3.33,22.33,14.16,8.17,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.03,34.6,-27.6,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-17,259,22.31,98.3,1.7,Safe D,17.33,3.31,22.31,14.16,8.15,61.15,38.85,0.0,False,False,,,,0.0,0.0,0.0,19.01,34.5,-27.7,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-18,258,22.33,98.4,1.6,Safe D,17.33,3.33,22.33,14.16,8.17,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.03,34.6,-27.7,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-19,257,22.34,98.4,1.6,Safe D,17.34,3.34,22.34,14.16,8.18,61.17,38.83,0.0,False,False,,,,0.0,0.0,0.0,19.04,34.6,-27.5,53.9,98.0,71.9,73.9,66.9,66.9,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.1,65.1,65.1,64.1,63.1,62.1,61.1,60.1,60.1,59.1,59.1,59.1,60.1,60.1,61.1,62.1
2026-02-20,256,22.42,98.4,1.6,Safe D,17.35,3.4,22.42,14.16,8.26,61.21,38.79,0.0,False,False,,,,0.0,0.0,0.0,19.1,34.4,-28.0,54.0,98.0,72.0,74.0,67.0,67.0,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.2,65.2,65.2,64.2,63.2,62.2,61.2,60.2,60.2,59.2,59.2,59.2,60.2,60.2,61.2,62.2
2026-02-21,255,22.42,98.4,1.6,Safe D,17.35,3.4,22.42,14.16,8.26,61.21,38.79,0.0,False,False,,,,0.0,0.0,0.0,19.1,34.4,-28.0,54.0,98.0,72.0,74.0,67.0,67.0,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.2,65.2,65.2,64.2,63.2,62.2,61.2,60.2,60.2,59.2,59.2,59.2,60.2,60.2,61.2,62.2
2026-02-22,254,22.47,98.4,1.6,Safe D,17.36,3.44,22.47,14.16,8.31,61.23,38.77,0.0,False,False,,,,0.0,0.0,0.0,19.14,34.5,-27.8,54.0,98.0,72.0,74.0,67.0,67.0,68.3,65.3,60.3,57.3,57.3,58.3,58.3,61.0,56.0,58.0,59.0,65.0,71.0,69.0,73.0,66.2,65.2,65.2,64.2,63.2,62.2,61.2,60.2,60.2,59.2,59.2,59.2,60.2,60.2,61.2,62.2
2026-02-23,253,22.44,98.4,1.6,Safe D,17.36,3.42,22.44,14.16,8.28,61.22,38.78,0.0,False,False,,,,0.0,0.0,0.0,19.12,34.5,-28.0,54.0,98.0,72.0,74.0,67.0,67.0,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.2,65.2,65.2,64.2,63.2,62.2,61.2,60.2,60.2,59.2,59.2,59.2,60.2,60.2,61.2,62.2
2026-02-24,252,22.44,98.4,1.6,Safe D,17.36,3.42,22.44,14.16,8.28,61.22,38.78,0.0,False,False,,,,0.0,0.0,0.0,19.12,34.5,-28.0,54.0,98.0,72.0,74.0,67.0,67.0,68.2,65.2,60.2,57.2,57.2,58.2,58.2,60.9,55.9,57.9,58.9,64.9,70.9,68.9,72.9,66.2,65.2,65.2,64.2,63.2,62.2,61.2,60.2,60.2,59.2,59.2,59.2,60.2,60.2,61.2,62.2
2026-02-25,251,22.46,98.4,1.6,Safe D,17.36,3.43,22.46,14.16,8.3,61.23,38.77,0.0,False,False,,,,0.0,0.0,0.0,19.13,34.5,-28.0,54.0,98.0,72.0,74.0,67.0,67.0,68.3,65.3,60.3,57.3,57.3,58.3,58.3,61.0,56.0,58.0,59.0,65.0,71.0,69.0,73.0,66.2,65.2,65.2,64.2,63.2,62.2,61.2,60.2,60.2,59.2,59.2,59.2,60.2,60.2,61.2,62.2
