date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-43.93,0.0,100.0,Safe R,-39.56,3.18,-43.93,-43.62,-0.31,28.04,71.96,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.07,-1.13,60.6,24.7,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-02,305,-43.93,0.0,100.0,Safe R,-39.56,3.18,-43.93,-43.62,-0.31,28.04,71.96,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.07,-1.13,60.6,24.7,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-03,304,-43.91,0.0,100.0,Safe R,-39.55,3.19,-43.91,-43.62,-0.3,28.04,71.96,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.06,-1.13,60.6,24.7,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-04,303,-44.0,0.0,100.0,Safe R,-39.58,3.13,-44.0,-43.62,-0.38,28.0,72.0,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.12,-1.13,60.8,25.0,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-05,302,-43.94,0.0,100.0,Safe R,-39.56,3.17,-43.94,-43.62,-0.33,28.03,71.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.08,-1.13,60.7,24.9,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-06,301,-43.94,0.0,100.0,Safe R,-39.56,3.17,-43.94,-43.62,-0.33,28.03,71.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.08,-1.13,60.7,24.9,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-07,300,-43.94,0.0,100.0,Safe R,-39.56,3.17,-43.94,-43.62,-0.33,28.03,71.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.08,-1.13,60.7,24.8,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-08,299,-43.94,0.0,100.0,Safe R,-39.56,3.17,-43.94,-43.62,-0.33,28.03,71.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.08,-1.13,60.8,24.8,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-09,298,-43.94,0.0,100.0,Safe R,-39.56,3.17,-43.94,-43.62,-0.33,28.03,71.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.08,-1.13,60.7,24.9,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-10,297,-43.94,0.0,100.0,Safe R,-39.56,3.17,-43.94,-43.62,-0.33,28.03,71.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.08,-1.13,60.7,24.9,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-11,296,-43.97,0.0,100.0,Safe R,-39.57,3.15,-43.97,-43.62,-0.35,28.01,71.99,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.1,-1.13,60.7,24.7,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-12,295,-43.91,0.0,100.0,Safe R,-39.55,3.19,-43.91,-43.62,-0.3,28.04,71.96,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.06,-1.13,60.6,24.5,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-13,294,-43.94,0.0,100.0,Safe R,-39.56,3.17,-43.94,-43.62,-0.33,28.03,71.97,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.08,-1.13,60.5,24.3,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-14,293,-43.93,0.0,100.0,Safe R,-39.56,3.18,-43.93,-43.62,-0.31,28.04,71.96,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.07,-1.13,60.5,24.4,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-15,292,-43.9,0.0,100.0,Safe R,-39.55,3.2,-43.9,-43.62,-0.28,28.05,71.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.05,-1.13,60.6,24.4,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-16,291,-43.9,0.0,100.0,Safe R,-39.55,3.2,-43.9,-43.62,-0.28,28.05,71.95,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.05,-1.13,60.5,24.3,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-17,290,-43.84,0.0,100.0,Safe R,-39.53,3.24,-43.84,-43.62,-0.23,28.08,71.92,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.01,-1.13,60.5,24.2,18.6,64.6,36.6,38.6,31.6,31.6,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
2026-01-18,289,-43.91,0.0,100.0,Safe R,-39.55,3.19,-43.91,-43.62,-0.3,28.04,71.96,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.06,-1.13,60.5,24.3,18.5,64.5,36.5,38.5,31.5,31.5,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.8,31.8,31.8,30.8,29.8,28.8,27.8,26.8,26.8,25.8,25.8,25.8,26.8,26.8,27.8,28.8
2026-01-19,288,-43.86,0.0,100.0,Safe R,-39.54,3.23,-43.86,-43.62,-0.24,28.07,71.93,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-40.02,-1.13,60.5,24.4,18.6,64.6,36.6,38.6,31.6,31.6,35.3,32.3,27.3,24.3,24.3,25.3,25.3,28.8,23.8,25.8,26.8,32.8,38.8,36.8,40.8,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
2026-01-20,287,-43.74,0.0,100.0,Safe R,-39.5,3.31,-43.74,-43.62,-0.13,28.13,71.87,0.0,False,False,,,,0.0,0.0,0.0,,,0,,0.0,-39.94,-1.13,60.4,24.1,18.6,64.6,36.6,38.6,31.6,31.6,35.4,32.4,27.4,24.4,24.4,25.4,25.4,28.9,23.9,25.9,26.9,32.9,38.9,36.9,40.9,32.9,31.9,31.9,30.9,29.9,28.9,27.9,26.9,26.9,25.9,25.9,25.9,26.9,26.9,27.9,28.9
