date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-1.09,47.2,52.8,Toss-up,8.39,3.18,-1.98,7.09,-8.18,48.96,50.04,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.66,0.98,39.6,-17.4,47.1,92.7,65.0,66.9,60.0,60.0,56.4,53.5,48.5,45.5,45.5,46.5,46.5,49.2,44.2,46.2,47.2,53.1,59.1,57.1,61.0,53.9,52.9,52.9,51.9,50.9,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
2026-01-02,305,-1.39,46.8,53.2,Toss-up,8.39,3.18,-1.98,7.09,-8.48,48.81,50.19,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.66,0.98,39.6,-17.4,47.0,92.5,64.8,66.8,59.9,59.9,56.3,53.3,48.4,45.4,45.4,46.4,46.4,49.0,44.1,46.0,47.0,53.0,58.9,56.9,60.9,53.8,52.8,52.8,51.8,50.8,49.8,48.8,47.8,47.8,46.8,46.8,46.8,47.8,47.8,48.8,49.8
2026-01-03,304,-1.13,48.8,51.2,Toss-up,8.39,3.19,-1.97,7.09,-8.22,48.94,50.06,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.67,0.98,39.6,-17.4,47.1,92.7,64.9,66.9,60.0,60.0,56.4,53.4,48.5,45.5,45.5,46.5,46.5,49.1,44.2,46.2,47.2,53.1,59.0,57.1,61.0,53.9,52.9,52.9,51.9,50.9,49.9,48.9,48.0,48.0,47.0,47.0,47.0,48.0,48.0,48.9,49.9
2026-01-04,303,-1.25,49.4,50.6,Toss-up,8.38,3.13,-2.04,7.09,-8.34,48.88,50.12,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.61,0.98,39.7,-17.1,47.1,92.6,64.9,66.9,59.9,59.9,56.3,53.4,48.4,45.5,45.5,46.4,46.4,49.1,44.1,46.1,47.1,53.0,59.0,57.0,61.0,53.8,52.8,52.8,51.9,50.9,49.9,48.9,47.9,47.9,46.9,46.9,46.9,47.9,47.9,48.9,49.9
2026-01-05,302,-1.76,46.5,53.5,Toss-up,8.39,3.17,-1.99,7.09,-8.84,48.63,50.37,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.65,0.98,39.7,-17.2,46.8,92.3,64.6,66.6,59.7,59.7,56.1,53.1,48.2,45.2,45.2,46.2,46.2,48.8,43.9,45.9,46.8,52.8,58.7,56.7,60.7,53.6,52.6,52.6,51.6,50.6,49.6,48.6,47.6,47.6,46.7,46.7,46.7,47.6,47.6,48.6,49.6
2026-01-06,301,-0.68,48.2,51.8,Toss-up,8.39,3.17,-1.99,7.09,-7.77,49.16,49.84,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.65,0.98,39.7,-17.2,47.3,92.9,65.2,67.1,60.2,60.2,56.6,53.7,48.7,45.7,45.7,46.7,46.7,49.4,44.4,46.4,47.4,53.3,59.3,57.3,61.2,54.1,53.1,53.1,52.1,51.1,50.2,49.2,48.2,48.2,47.2,47.2,47.2,48.2,48.2,49.2,50.2
2026-01-07,300,-0.95,47.6,52.4,Toss-up,8.39,3.17,-1.99,7.09,-8.04,49.03,49.97,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.65,0.98,39.7,-17.3,47.2,92.7,65.0,67.0,60.1,60.1,56.5,53.5,48.6,45.6,45.6,46.6,46.6,49.2,44.3,46.3,47.2,53.2,59.1,57.1,61.1,54.0,53.0,53.0,52.0,51.0,50.0,49.0,48.0,48.0,47.1,47.1,47.1,48.0,48.0,49.0,50.0
2026-01-08,299,-0.73,49.0,51.0,Toss-up,8.39,3.17,-1.99,7.09,-7.81,49.14,49.86,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.65,0.98,39.7,-17.2,47.3,92.9,65.1,67.1,60.2,60.2,56.6,53.6,48.7,45.7,45.7,46.7,46.7,49.3,44.4,46.4,47.4,53.3,59.2,57.3,61.2,54.1,53.1,53.1,52.1,51.1,50.1,49.1,48.2,48.2,47.2,47.2,47.2,48.2,48.2,49.1,50.1
2026-01-09,298,-0.81,49.0,51.0,Toss-up,8.39,3.17,-1.99,7.09,-7.9,49.1,49.9,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.65,0.98,39.7,-17.2,47.3,92.8,65.1,67.1,60.1,60.1,56.6,53.6,48.6,45.7,45.7,46.7,46.7,49.3,44.3,46.3,47.3,53.3,59.2,57.2,61.2,54.1,53.1,53.1,52.1,51.1,50.1,49.1,48.1,48.1,47.1,47.1,47.1,48.1,48.1,49.1,50.1
2026-01-10,297,-0.61,50.0,50.0,Toss-up,8.39,3.17,-1.99,7.09,-7.7,49.2,49.8,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.65,0.98,39.7,-17.2,47.4,92.9,65.2,67.2,60.2,60.2,56.7,53.7,48.7,45.8,45.8,46.8,46.8,49.4,44.4,46.4,47.4,53.4,59.3,57.3,61.3,54.2,53.2,53.2,52.2,51.2,50.2,49.2,48.2,48.2,47.2,47.2,47.2,48.2,48.2,49.2,50.2
2026-01-11,296,0.08,50.7,49.3,Toss-up,8.38,3.15,-2.02,7.09,-7.0,49.54,49.46,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.63,0.98,39.6,-17.4,47.7,93.3,65.5,67.5,60.6,60.6,57.0,54.0,49.1,46.1,46.1,47.1,47.1,49.7,44.8,46.8,47.8,53.7,59.6,57.7,61.6,54.5,53.5,53.5,52.5,51.5,50.5,49.5,48.6,48.6,47.6,47.6,47.6,48.6,48.6,49.5,50.5
2026-01-12,295,-1.09,48.1,51.9,Toss-up,8.39,3.19,-1.97,7.09,-8.18,48.96,50.04,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.67,0.98,39.6,-17.5,47.1,92.7,65.0,66.9,60.0,60.0,56.4,53.5,48.5,45.5,45.5,46.5,46.5,49.2,44.2,46.2,47.2,53.1,59.1,57.1,61.0,53.9,52.9,52.9,51.9,50.9,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
2026-01-13,294,-1.19,47.6,52.4,Toss-up,8.39,3.17,-1.99,7.09,-8.28,48.91,50.09,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.65,0.98,39.5,-17.7,47.1,92.6,64.9,66.9,60.0,60.0,56.4,53.4,48.5,45.5,45.5,46.5,46.5,49.1,44.2,46.1,47.1,53.1,59.0,57.0,61.0,53.9,52.9,52.9,51.9,50.9,49.9,48.9,47.9,47.9,46.9,46.9,46.9,47.9,47.9,48.9,49.9
2026-01-14,293,-1.42,46.4,53.6,Toss-up,8.39,3.18,-1.98,7.09,-8.51,48.8,50.2,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.66,0.98,39.5,-17.7,47.0,92.5,64.8,66.8,59.8,59.8,56.3,53.3,48.3,45.4,45.4,46.4,46.4,49.0,44.0,46.0,47.0,53.0,58.9,56.9,60.9,53.8,52.8,52.8,51.8,50.8,49.8,48.8,47.8,47.8,46.8,46.8,46.8,47.8,47.8,48.8,49.8
2026-01-15,292,-1.55,45.4,54.6,Toss-up,8.4,3.2,-1.96,7.09,-8.63,48.73,50.27,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.68,0.98,39.5,-17.6,46.9,92.4,64.7,66.7,59.8,59.8,56.2,53.2,48.3,45.3,45.3,46.3,46.3,48.9,44.0,46.0,46.9,52.9,58.8,56.8,60.8,53.7,52.7,52.7,51.7,50.7,49.7,48.7,47.7,47.7,46.8,46.8,46.8,47.7,47.7,48.7,49.7
2026-01-16,291,-0.89,47.3,52.7,Toss-up,8.4,3.2,-1.96,7.09,-7.97,49.06,49.94,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.68,0.98,39.5,-17.7,47.2,92.8,65.1,67.0,60.1,60.1,56.5,53.6,48.6,45.6,45.6,46.6,46.6,49.3,44.3,46.3,47.3,53.2,59.2,57.2,61.1,54.0,53.0,53.0,52.0,51.0,50.1,49.1,48.1,48.1,47.1,47.1,47.1,48.1,48.1,49.1,50.1
2026-01-17,290,-0.48,48.8,51.2,Toss-up,8.41,3.24,-1.91,7.09,-7.57,49.26,49.74,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.72,0.98,39.5,-17.8,47.4,93.0,65.3,67.2,60.3,60.3,56.7,53.8,48.8,45.8,45.8,46.8,46.8,49.5,44.5,46.5,47.5,53.4,59.4,57.4,61.3,54.2,53.2,53.2,52.2,51.2,50.3,49.3,48.3,48.3,47.3,47.3,47.3,48.3,48.3,49.3,50.3
2026-01-18,289,-0.28,50.8,49.2,Toss-up,8.39,3.19,-1.97,7.09,-7.37,49.36,49.64,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.67,0.98,39.5,-17.8,47.5,93.1,65.4,67.3,60.4,60.4,56.8,53.9,48.9,45.9,45.9,46.9,46.9,49.6,44.6,46.6,47.6,53.5,59.5,57.5,61.4,54.3,53.3,53.3,52.3,51.3,50.4,49.4,48.4,48.4,47.4,47.4,47.4,48.4,48.4,49.4,50.4
2026-01-19,288,-0.2,49.0,51.0,Toss-up,8.4,3.23,-1.92,7.09,-7.29,49.4,49.6,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.71,0.98,39.5,-17.7,47.6,93.1,65.4,67.4,60.4,60.4,56.9,53.9,48.9,46.0,46.0,47.0,47.0,49.6,44.6,46.6,47.6,53.6,59.5,57.5,61.5,54.4,53.4,53.4,52.4,51.4,50.4,49.4,48.4,48.4,47.4,47.4,47.4,48.4,48.4,49.4,50.4
2026-01-20,287,-1.2,47.8,52.2,Toss-up,8.42,3.31,-1.82,7.09,-8.28,48.91,50.09,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.79,0.98,39.4,-17.9,47.1,92.6,64.9,66.9,60.0,60.0,56.4,53.4,48.5,45.5,45.5,46.5,46.5,49.1,44.2,46.1,47.1,53.1,59.0,57.0,61.0,53.9,52.9,52.9,51.9,50.9,49.9,48.9,47.9,47.9,46.9,46.9,46.9,47.9,47.9,48.9,49.9
2026-01-21,286,-0.72,47.9,52.1,Toss-up,8.42,3.31,-1.82,7.09,-7.81,49.14,49.86,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.79,0.98,39.4,-17.9,47.3,92.9,65.1,67.1,60.2,60.2,56.6,53.6,48.7,45.7,45.7,46.7,46.7,49.3,44.4,46.4,47.4,53.3,59.2,57.3,61.2,54.1,53.1,53.1,52.1,51.1,50.1,49.1,48.2,48.2,47.2,47.2,47.2,48.2,48.2,49.1,50.1
2026-01-22,285,-0.88,47.7,52.3,Toss-up,8.43,3.33,-1.79,7.09,-7.97,49.06,49.94,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.81,0.98,39.3,-18.0,47.2,92.8,65.1,67.0,60.1,60.1,56.5,53.6,48.6,45.6,45.6,46.6,46.6,49.3,44.3,46.3,47.3,53.2,59.2,57.2,61.1,54.0,53.0,53.0,52.0,51.0,50.1,49.1,48.1,48.1,47.1,47.1,47.1,48.1,48.1,49.1,50.1
2026-01-23,284,-1.3,47.0,53.0,Toss-up,8.43,3.34,-1.78,7.09,-8.38,48.86,50.14,1.0,True,False,,,,0.0,0.0,0.0,44.25,43.39,7,0.8599999999999994,0.223,11.82,0.98,39.3,-18.0,47.0,92.6,64.9,66.8,59.9,59.9,56.3,53.4,48.4,45.4,45.4,46.4,46.4,49.1,44.1,46.1,47.1,53.0,59.0,57.0,60.9,53.8,52.8,52.8,51.8,50.8,49.9,48.9,47.9,47.9,46.9,46.9,46.9,47.9,47.9,48.9,49.9
2026-01-24,283,-1.52,46.6,53.4,Toss-up,8.43,3.34,-1.78,7.09,-8.61,48.75,50.25,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.82,0.98,39.3,-18.0,46.9,92.5,64.7,66.7,59.8,59.8,56.2,53.2,48.3,45.3,45.3,46.3,46.3,48.9,44.0,46.0,47.0,52.9,58.8,56.9,60.8,53.7,52.7,52.7,51.7,50.7,49.7,48.8,47.8,47.8,46.8,46.8,46.8,47.8,47.8,48.8,49.7
2026-01-25,282,-1.08,47.5,52.5,Toss-up,8.42,3.28,-1.86,7.09,-8.17,48.96,50.04,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.76,0.98,39.3,-18.0,47.1,92.7,65.0,66.9,60.0,60.0,56.4,53.5,48.5,45.5,45.5,46.5,46.5,49.2,44.2,46.2,47.2,53.1,59.1,57.1,61.0,53.9,52.9,52.9,51.9,50.9,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
2026-01-26,281,-0.92,47.8,52.2,Toss-up,8.42,3.31,-1.82,7.09,-8.01,49.05,49.95,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.79,0.98,39.2,-18.3,47.2,92.8,65.0,67.0,60.1,60.1,56.5,53.5,48.6,45.6,45.6,46.6,46.6,49.2,44.3,46.3,47.3,53.2,59.1,57.2,61.1,54.0,53.0,53.0,52.0,51.0,50.0,49.1,48.1,48.1,47.1,47.1,47.1,48.1,48.1,49.1,50.0
2026-01-27,280,-0.98,49.4,50.6,Toss-up,8.42,3.31,-1.82,7.09,-8.07,49.01,49.99,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.79,0.98,39.2,-18.3,47.2,92.7,65.0,67.0,60.1,60.1,56.5,53.5,48.6,45.6,45.6,46.6,46.6,49.2,44.3,46.2,47.2,53.2,59.1,57.1,61.1,54.0,53.0,53.0,52.0,51.0,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
2026-01-28,279,-1.06,48.0,52.0,Toss-up,8.43,3.34,-1.78,7.09,-8.15,48.98,50.02,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.82,0.98,39.3,-18.3,47.2,92.7,65.0,67.0,60.0,60.0,56.4,53.5,48.5,45.6,45.6,46.5,46.5,49.2,44.2,46.2,47.2,53.1,59.1,57.1,61.1,53.9,52.9,52.9,52.0,51.0,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
2026-01-29,278,-0.68,47.5,52.5,Toss-up,8.43,3.33,-1.79,7.09,-7.77,49.16,49.84,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.81,0.98,39.3,-18.2,47.3,92.9,65.2,67.1,60.2,60.2,56.6,53.7,48.7,45.7,45.7,46.7,46.7,49.4,44.4,46.4,47.4,53.3,59.3,57.3,61.2,54.1,53.1,53.1,52.1,51.1,50.2,49.2,48.2,48.2,47.2,47.2,47.2,48.2,48.2,49.2,50.2
2026-01-30,277,0.32,50.6,49.4,Toss-up,8.43,3.34,-1.78,7.09,-6.77,49.66,49.34,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.82,0.98,39.2,-18.3,47.8,93.4,65.7,67.6,60.7,60.7,57.1,54.2,49.2,46.2,46.2,47.2,47.2,49.9,44.9,46.9,47.9,53.8,59.8,57.8,61.7,54.6,53.6,53.6,52.6,51.6,50.7,49.7,48.7,48.7,47.7,47.7,47.7,48.7,48.7,49.7,50.7
2026-01-31,276,-1.68,46.8,53.2,Toss-up,8.43,3.34,-1.78,7.09,-8.76,48.67,50.33,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.82,0.98,39.2,-18.3,46.8,92.4,64.7,66.6,59.7,59.7,56.1,53.2,48.2,45.2,45.2,46.2,46.2,48.9,43.9,45.9,46.9,52.8,58.8,56.8,60.7,53.6,52.6,52.6,51.6,50.7,49.7,48.7,47.7,47.7,46.7,46.7,46.7,47.7,47.7,48.7,49.7
2026-02-01,275,-1.63,47.4,52.6,Toss-up,8.41,3.26,-1.88,7.09,-8.71,48.7,50.3,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.74,0.98,39.3,-18.2,46.9,92.4,64.7,66.7,59.7,59.7,56.2,53.2,48.2,45.3,45.3,46.3,46.3,48.9,43.9,45.9,46.9,52.9,58.8,56.8,60.8,53.7,52.7,52.7,51.7,50.7,49.7,48.7,47.7,47.7,46.7,46.7,46.7,47.7,47.7,48.7,49.7
2026-02-02,274,-0.99,48.1,51.9,Toss-up,8.41,3.25,-1.89,7.09,-8.08,49.01,49.99,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.73,0.98,39.2,-18.3,47.2,92.7,65.0,67.0,60.1,60.1,56.5,53.5,48.6,45.6,45.6,46.6,46.6,49.2,44.3,46.2,47.2,53.2,59.1,57.1,61.1,54.0,53.0,53.0,52.0,51.0,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
2026-02-03,273,-1.82,45.6,54.4,Toss-up,8.41,3.25,-1.89,7.09,-8.91,48.6,50.4,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.73,0.98,39.2,-18.3,46.8,92.3,64.6,66.6,59.6,59.6,56.1,53.1,48.1,45.2,45.2,46.2,46.2,48.8,43.8,45.8,46.8,52.8,58.7,56.7,60.7,53.6,52.6,52.6,51.6,50.6,49.6,48.6,47.6,47.6,46.6,46.6,46.6,47.6,47.6,48.6,49.6
2026-02-04,272,-1.03,47.2,52.8,Toss-up,8.41,3.25,-1.89,7.09,-8.12,48.99,50.01,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.73,0.98,39.2,-18.3,47.2,92.7,65.0,67.0,60.0,60.0,56.5,53.5,48.5,45.6,45.6,46.6,46.6,49.2,44.2,46.2,47.2,53.1,59.1,57.1,61.1,53.9,53.0,53.0,52.0,51.0,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
2026-02-05,271,-1.82,46.7,53.3,Toss-up,8.41,3.26,-1.88,7.09,-8.91,48.6,50.4,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.74,0.98,39.2,-18.3,46.8,92.3,64.6,66.6,59.6,59.6,56.1,53.1,48.1,45.2,45.2,46.2,46.2,48.8,43.8,45.8,46.8,52.8,58.7,56.7,60.7,53.6,52.6,52.6,51.6,50.6,49.6,48.6,47.6,47.6,46.6,46.6,46.6,47.6,47.6,48.6,49.6
2026-02-06,270,-0.6,48.8,51.2,Toss-up,8.41,3.26,-1.88,7.09,-7.69,49.2,49.8,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.74,0.98,39.2,-18.3,47.4,92.9,65.2,67.2,60.2,60.2,56.7,53.7,48.7,45.8,45.8,46.8,46.8,49.4,44.4,46.4,47.4,53.4,59.3,57.3,61.3,54.2,53.2,53.2,52.2,51.2,50.2,49.2,48.2,48.2,47.2,47.2,47.2,48.2,48.2,49.2,50.2
2026-02-07,269,-1.05,47.4,52.6,Toss-up,8.41,3.26,-1.88,7.09,-8.13,48.98,50.02,1.0,True,False,,,,0.0,0.0,0.0,44.17,43.9,8,0.2700000000000031,0.233,11.74,0.98,39.2,-18.3,47.2,92.7,65.0,67.0,60.0,60.0,56.4,53.5,48.5,45.6,45.6,46.5,46.5,49.2,44.2,46.2,47.2,53.1,59.1,57.1,61.1,53.9,52.9,52.9,52.0,51.0,50.0,49.0,48.0,48.0,47.0,47.0,47.0,48.0,48.0,49.0,50.0
