date,days_out,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,pres_2024,swing_24_26,dem_pct,rep_pct,oth_pct,rcv,threeway,same_party,oth_party,ind_name,ind_prob,ind_pct,cand1_prob,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,environment,demo_env_adj,trump_approve,trump_net,dem_vap_white,dem_vap_black,dem_vap_hispanic,dem_vap_asian,dem_vap_native,dem_vap_pacific,dem_age_20_29,dem_age_30_39,dem_age_40_49,dem_age_50_59,dem_age_60_69,dem_age_70_79,dem_age_80_plus,dem_educ_no_hs,dem_educ_hs,dem_educ_some_college,dem_educ_associate,dem_educ_bachelor,dem_educ_master,dem_educ_professional,dem_educ_doctorate,dem_inc_u10k,dem_inc_10_15k,dem_inc_15_20k,dem_inc_20_25k,dem_inc_25_30k,dem_inc_30_35k,dem_inc_35_40k,dem_inc_40_45k,dem_inc_45_50k,dem_inc_50_60k,dem_inc_60_75k,dem_inc_75_100k,dem_inc_100_125k,dem_inc_125_150k,dem_inc_150_200k,dem_inc_200k_plus
2026-01-01,306,-10.11,16.7,83.3,Likely R,-12.15,3.18,-12.6,-11.92,1.82,44.95,55.05,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.71,-1.96,47.2,-2.2,42.8,88.8,60.8,62.8,55.8,55.8,51.9,48.9,43.9,40.9,40.9,41.9,41.9,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.9,48.9,48.9,47.9,46.9,45.9,44.9,43.9,43.9,42.9,42.9,42.9,43.9,43.9,44.9,45.9
2026-01-02,305,-10.27,16.3,83.7,Likely R,-12.34,3.18,-12.79,-11.92,1.65,44.86,55.14,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.71,-1.96,47.2,-2.2,42.7,88.7,60.7,62.7,55.7,55.7,51.8,48.8,43.8,40.8,40.8,41.8,41.8,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.8,48.8,48.8,47.8,46.8,45.8,44.8,43.8,43.8,42.8,42.8,42.8,43.8,43.8,44.8,45.8
2026-01-03,304,-10.26,16.4,83.6,Likely R,-12.33,3.19,-12.77,-11.92,1.67,44.87,55.13,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.7,-1.96,47.2,-2.2,42.7,88.7,60.7,62.7,55.7,55.7,51.8,48.8,43.8,40.8,40.8,41.8,41.8,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.8,48.8,48.8,47.8,46.8,45.8,44.8,43.8,43.8,42.8,42.8,42.8,43.8,43.8,44.8,45.8
2026-01-04,303,-10.18,16.6,83.4,Likely R,-12.19,3.13,-12.69,-11.92,1.74,44.91,55.09,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.76,-1.96,47.3,-1.9,42.8,88.8,60.8,62.8,55.8,55.8,51.9,48.9,43.9,40.9,40.9,41.9,41.9,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.9,48.9,48.9,47.9,46.9,45.9,44.9,43.9,43.9,42.9,42.9,42.9,43.9,43.9,44.9,45.9
2026-01-05,302,-10.3,16.3,83.7,Likely R,-12.37,3.17,-12.82,-11.92,1.62,44.85,55.15,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.72,-1.96,47.3,-2.0,42.7,88.7,60.7,62.7,55.7,55.7,51.8,48.8,43.8,40.8,40.8,41.8,41.8,44.7,39.7,41.7,42.7,48.7,54.7,52.7,56.7,49.8,48.8,48.8,47.8,46.8,45.8,44.8,43.8,43.8,42.8,42.8,42.8,43.8,43.8,44.8,45.8
2026-01-06,301,-10.06,16.8,83.2,Likely R,-12.09,3.17,-12.55,-11.92,1.86,44.97,55.03,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.72,-1.96,47.3,-2.0,42.8,88.8,60.8,62.8,55.8,55.8,51.9,48.9,43.9,40.9,40.9,41.9,41.9,44.9,39.9,41.9,42.9,48.9,54.9,52.9,56.9,49.9,48.9,48.9,47.9,46.9,45.9,44.9,43.9,43.9,42.9,42.9,42.9,43.9,43.9,44.9,45.9
2026-01-07,300,-10.3,16.3,83.7,Likely R,-12.36,3.17,-12.82,-11.92,1.63,44.85,55.15,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.72,-1.96,47.3,-2.1,42.7,88.7,60.7,62.7,55.7,55.7,51.8,48.8,43.8,40.8,40.8,41.8,41.8,44.7,39.7,41.7,42.7,48.7,54.7,52.7,56.7,49.8,48.8,48.8,47.8,46.8,45.8,44.8,43.8,43.8,42.8,42.8,42.8,43.8,43.8,44.8,45.8
2026-01-08,299,-9.99,17.0,83.0,Likely R,-12.01,3.17,-12.46,-11.92,1.93,45.0,55.0,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.72,-1.96,47.3,-2.0,42.8,88.8,60.8,62.8,55.8,55.8,52.0,49.0,44.0,41.0,41.0,42.0,42.0,44.9,39.9,41.9,42.9,48.9,54.9,52.9,56.9,50.0,49.0,49.0,48.0,47.0,46.0,45.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,45.0,46.0
2026-01-09,298,-10.15,16.6,83.4,Likely R,-12.19,3.17,-12.64,-11.92,1.78,44.93,55.07,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.72,-1.96,47.3,-2.0,42.8,88.8,60.8,62.8,55.8,55.8,51.9,48.9,43.9,40.9,40.9,41.9,41.9,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.9,48.9,48.9,47.9,46.9,45.9,44.9,43.9,43.9,42.9,42.9,42.9,43.9,43.9,44.9,45.9
2026-01-10,297,-10.12,16.7,83.3,Likely R,-12.15,3.17,-12.61,-11.92,1.81,44.94,55.06,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.72,-1.96,47.3,-2.0,42.8,88.8,60.8,62.8,55.8,55.8,51.9,48.9,43.9,40.9,40.9,41.9,41.9,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.9,48.9,48.9,47.9,46.9,45.9,44.9,43.9,43.9,42.9,42.9,42.9,43.9,43.9,44.9,45.9
2026-01-11,296,-10.27,16.4,83.6,Likely R,-12.31,3.15,-12.78,-11.92,1.66,44.87,55.13,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.74,-1.96,47.2,-2.2,42.7,88.7,60.7,62.7,55.7,55.7,51.8,48.8,43.8,40.8,40.8,41.8,41.8,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.8,48.8,48.8,47.8,46.8,45.8,44.8,43.8,43.8,42.8,42.8,42.8,43.8,43.8,44.8,45.8
2026-01-12,295,-10.29,16.3,83.7,Likely R,-12.38,3.19,-12.82,-11.92,1.63,44.85,55.15,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.7,-1.96,47.2,-2.3,42.7,88.7,60.7,62.7,55.7,55.7,51.8,48.8,43.8,40.8,40.8,41.8,41.8,44.7,39.7,41.7,42.7,48.7,54.7,52.7,56.7,49.8,48.8,48.8,47.8,46.8,45.8,44.8,43.8,43.8,42.8,42.8,42.8,43.8,43.8,44.8,45.8
2026-01-13,294,-10.37,16.1,83.9,Likely R,-12.45,3.17,-12.91,-11.92,1.55,44.81,55.19,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.72,-1.96,47.1,-2.5,42.7,88.7,60.7,62.7,55.7,55.7,51.8,48.8,43.8,40.8,40.8,41.8,41.8,44.7,39.7,41.7,42.7,48.7,54.7,52.7,56.7,49.8,48.8,48.8,47.8,46.8,45.8,44.8,43.8,43.8,42.8,42.8,42.8,43.8,43.8,44.8,45.8
2026-01-14,293,-10.17,16.6,83.4,Likely R,-12.22,3.18,-12.67,-11.92,1.76,44.92,55.08,0.0,False,False,,,,0.0,0.0,0.0,47.0,43.0,1,4.0,0.15,-9.71,-1.96,47.1,-2.5,42.8,88.8,60.8,62.8,55.8,55.8,51.9,48.9,43.9,40.9,40.9,41.9,41.9,44.8,39.8,41.8,42.8,48.8,54.8,52.8,56.8,49.9,48.9,48.9,47.9,46.9,45.9,44.9,43.9,43.9,42.9,42.9,42.9,43.9,43.9,44.9,45.9
2026-01-15,292,-11.5,13.6,86.4,Likely R,-12.33,3.2,-12.76,-11.92,0.43,44.25,55.75,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.69,-1.96,47.1,-2.4,42.1,88.1,60.1,62.1,55.1,55.1,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-16,291,-11.5,13.6,86.4,Likely R,-12.34,3.2,-12.77,-11.92,0.42,44.25,55.75,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.69,-1.96,47.1,-2.5,42.1,88.1,60.1,62.1,55.1,55.1,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-17,290,-11.49,13.6,86.4,Likely R,-12.37,3.24,-12.76,-11.92,0.43,44.25,55.75,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.65,-1.96,47.1,-2.6,42.1,88.1,60.1,62.1,55.1,55.1,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-18,289,-11.45,13.7,86.3,Likely R,-12.27,3.19,-12.71,-11.92,0.47,44.27,55.73,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.7,-1.96,47.1,-2.6,42.1,88.1,60.1,62.1,55.1,55.1,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.2,39.2,41.2,42.2,48.2,54.2,52.2,56.2,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-19,288,-11.35,13.9,86.1,Likely R,-12.19,3.23,-12.59,-11.92,0.57,44.32,55.68,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.66,-1.96,47.1,-2.5,42.2,88.2,60.2,62.2,55.2,55.2,51.3,48.3,43.3,40.3,40.3,41.3,41.3,44.2,39.2,41.2,42.2,48.2,54.2,52.2,56.2,49.3,48.3,48.3,47.3,46.3,45.3,44.3,43.3,43.3,42.3,42.3,42.3,43.3,43.3,44.3,45.3
2026-01-20,287,-11.16,14.3,85.7,Likely R,-12.04,3.31,-12.36,-11.92,0.77,44.42,55.58,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.58,-1.96,47.0,-2.7,42.3,88.3,60.3,62.3,55.3,55.3,51.4,48.4,43.4,40.4,40.4,41.4,41.4,44.3,39.3,41.3,42.3,48.3,54.3,52.3,56.3,49.4,48.4,48.4,47.4,46.4,45.4,44.4,43.4,43.4,42.4,42.4,42.4,43.4,43.4,44.4,45.4
2026-01-21,286,-11.21,14.2,85.8,Likely R,-12.1,3.31,-12.42,-11.92,0.72,44.4,55.6,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.58,-1.96,47.0,-2.7,42.2,88.2,60.2,62.2,55.2,55.2,51.4,48.4,43.4,40.4,40.4,41.4,41.4,44.3,39.3,41.3,42.3,48.3,54.3,52.3,56.3,49.4,48.4,48.4,47.4,46.4,45.4,44.4,43.4,43.4,42.4,42.4,42.4,43.4,43.4,44.4,45.4
2026-01-22,285,-11.2,14.2,85.8,Likely R,-12.11,3.33,-12.41,-11.92,0.72,44.4,55.6,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.56,-1.96,46.9,-2.8,42.2,88.2,60.2,62.2,55.2,55.2,51.4,48.4,43.4,40.4,40.4,41.4,41.4,44.3,39.3,41.3,42.3,48.3,54.3,52.3,56.3,49.4,48.4,48.4,47.4,46.4,45.4,44.4,43.4,43.4,42.4,42.4,42.4,43.4,43.4,44.4,45.4
2026-01-23,284,-11.28,14.1,85.9,Likely R,-12.22,3.34,-12.5,-11.92,0.64,44.36,55.64,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.55,-1.96,46.9,-2.8,42.2,88.2,60.2,62.2,55.2,55.2,51.3,48.3,43.3,40.3,40.3,41.3,41.3,44.3,39.3,41.3,42.3,48.3,54.3,52.3,56.3,49.3,48.3,48.3,47.3,46.3,45.3,44.3,43.3,43.3,42.3,42.3,42.3,43.3,43.3,44.3,45.3
2026-01-24,283,-11.1,14.4,85.6,Likely R,-12.01,3.34,-12.3,-11.92,0.82,44.45,55.55,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.55,-1.96,46.9,-2.8,42.3,88.3,60.3,62.3,55.3,55.3,51.4,48.4,43.4,40.4,40.4,41.4,41.4,44.3,39.3,41.3,42.3,48.3,54.3,52.3,56.3,49.4,48.4,48.4,47.4,46.4,45.4,44.4,43.4,43.4,42.4,42.4,42.4,43.4,43.4,44.4,45.4
2026-01-25,282,-11.19,14.3,85.7,Likely R,-12.05,3.28,-12.4,-11.92,0.74,44.41,55.59,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.61,-1.96,46.9,-2.8,42.3,88.3,60.3,62.3,55.3,55.3,51.4,48.4,43.4,40.4,40.4,41.4,41.4,44.3,39.3,41.3,42.3,48.3,54.3,52.3,56.3,49.4,48.4,48.4,47.4,46.4,45.4,44.4,43.4,43.4,42.4,42.4,42.4,43.4,43.4,44.4,45.4
2026-01-26,281,-11.62,13.4,86.6,Likely R,-12.59,3.31,-12.9,-11.92,0.3,44.19,55.81,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.58,-1.96,46.8,-3.1,42.0,88.0,60.0,62.0,55.0,55.0,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-27,280,-11.52,13.6,86.4,Likely R,-12.47,3.31,-12.79,-11.92,0.4,44.24,55.76,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.58,-1.96,46.8,-3.1,42.1,88.1,60.1,62.1,55.1,55.1,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-28,279,-11.57,13.5,86.5,Likely R,-12.56,3.34,-12.85,-11.92,0.35,44.21,55.79,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.55,-1.96,46.9,-3.1,42.1,88.1,60.1,62.1,55.1,55.1,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-29,278,-11.57,13.4,86.6,Likely R,-12.55,3.33,-12.85,-11.92,0.35,44.21,55.79,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.56,-1.96,46.9,-3.0,42.1,88.1,60.1,62.1,55.1,55.1,51.2,48.2,43.2,40.2,40.2,41.2,41.2,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
2026-01-30,277,-11.64,13.3,86.7,Likely R,-12.65,3.34,-12.93,-11.92,0.28,44.18,55.82,0.0,False,False,,,,0.0,0.0,0.0,41.79,46.13,2,-4.340000000000003,0.15,-9.55,-1.96,46.8,-3.1,42.0,88.0,60.0,62.0,55.0,55.0,51.1,48.1,43.1,40.1,40.1,41.1,41.1,44.1,39.1,41.1,42.1,48.1,54.1,52.1,56.1,49.2,48.2,48.2,47.2,46.2,45.2,44.2,43.2,43.2,42.2,42.2,42.2,43.2,43.2,44.2,45.2
