race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,37.0,41.0,0.0,,0.0,0.0,1,0.691
AK-GOV,38.0,16.0,0.0,,0.0,21.0,1,0.6752
AK-SEN,48.06,46.46,0.0,,0.0,0.0,6,0.1364
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0844
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.6447
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0814
AZ-06,42.0,41.0,0.0,,0.0,0.0,1,0.0432
AZ-GOV,43.33,37.08,0.0,,0.0,0.0,8,0.154
CA-22,44.0,42.0,0.0,,0.0,0.0,1,0.009
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.067
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0098
FL-GOV,34.06,36.37,5.77,IND,0.0,0.0,6,0.2326
GA-SEN,42.94,41.33,0.0,,0.0,0.0,5,0.0063
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0028
IA-03,45.0,42.0,0.0,,0.0,0.0,1,0.057
IA-SEN,41.0,44.0,0.0,,0.0,0.0,1,0.3299
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.1088
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.4886
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.1939
MA-GOV,54.9,26.78,0.0,,0.0,0.0,2,0.4088
MA-SEN,55.41,27.95,0.0,,0.0,0.0,4,0.3301
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.2939
ME-02,46.0,47.0,0.0,,0.0,0.0,1,0.7579
ME-SEN,49.0,41.0,0.0,,0.0,0.0,1,0.0806
MI-04,42.0,44.0,0.0,,0.0,0.0,1,0.1015
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.3789
MI-GOV,37.13,36.0,16.15,IND,0.0,0.0,10,0.2728
MI-SEN,41.98,43.36,0.0,,0.0,0.0,5,0.1814
MN-01,41.0,44.0,0.0,,0.0,0.0,1,0.5612
MN-GOV,50.34,36.36,0.0,,0.0,0.0,2,0.5708
MN-SEN,47.1,40.61,0.0,,0.0,0.0,3,0.2131
NC-01,42.0,39.0,9.0,LIB,0.0,0.0,1,0.5484
NC-SEN,48.53,36.72,0.0,,0.0,0.0,9,0.1533
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.052
NE-SEN,47.0,48.0,0.0,,0.0,0.0,2,0.2941
NH-02,51.18,38.82,0.0,,0.0,0.0,4,0.1334
NH-GOV,40.0,43.0,0.0,,0.0,0.0,1,0.0412
NH-SEN,46.76,42.09,0.0,,0.0,0.0,10,0.1498
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0015
NV-GOV,41.81,43.7,0.0,,0.0,0.0,3,0.3038
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.1612
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.7756
NY-17,44.0,39.0,0.0,,0.0,0.0,1,0.7756
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.7756
NY-GOV,50.21,32.6,1.55,LIB,0.0,0.0,8,0.4103
OH-GOV,49.69,44.11,0.0,,0.0,0.0,9,0.1398
OH-SEN,48.04,48.13,0.0,,0.0,0.0,6,0.1793
OR-GOV,45.0,40.0,0.0,,0.0,0.0,1,0.5743
PA-01,41.0,41.0,0.0,,0.0,0.0,1,0.0394
PA-08,45.0,43.0,0.0,,0.0,0.0,1,0.0142
PA-10,47.91,43.95,0.0,,0.0,0.0,2,0.0508
PA-GOV,54.99,37.08,0.0,,0.0,0.0,3,0.3166
SD-SEN,34.53,46.64,0.0,,0.0,0.0,3,0.2958
TN-GOV,28.0,49.0,0.0,,0.0,0.0,1,0.0088
TX-15,38.0,41.0,0.0,,0.0,0.0,1,0.0197
TX-GOV,41.94,49.19,1.21,LIB,0.0,0.0,4,0.5733
TX-SEN,44.95,45.61,0.9,LIB,0.0,0.0,5,0.2023
VA-01,40.0,41.0,0.0,,0.0,0.0,1,0.0092
WI-03,48.71,47.65,0.0,,0.0,0.0,2,0.4094
WI-GOV,40.0,43.0,0.0,,0.0,0.0,1,0.0305
