race_code,round,cand_id,name,party,slot,pct,votes,status,exhausted_pct
AK-GOV,1,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,45.64,107923,active,0.0
AK-GOV,1,C-0074,Bernadette Wilson,REP,rep,21.4,50600,active,0.0
AK-GOV,1,C-1061,Dave Bronson,REP,,17.33,40986,active,0.0
AK-GOV,1,C-1068,Treg Taylor,REP,,15.62,36938,eliminated,0.0
AK-GOV,2,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,47.47,112247,active,4.54
AK-GOV,2,C-0074,Bernadette Wilson,REP,rep,26.51,62690,active,4.54
AK-GOV,2,C-1061,Dave Bronson,REP,,21.48,50779,eliminated,4.54
AK-GOV,3,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,49.99,118192,elected,10.78
AK-GOV,3,C-0074,Bernadette Wilson,REP,rep,39.24,92773,active,10.78
AK-SEN,1,C-0001,Mary Peltola,DEM,dem,47.81,113035,active,0.0
AK-SEN,1,C-0002,Dan S. Sullivan,REP,rep,48.52,114729,active,0.0
AK-SEN,1,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,5911,active,0.0
AK-SEN,1,C-1066,Gerald L. Heikes,REP,,1.17,2771,eliminated,0.0
AK-SEN,2,C-0001,Mary Peltola,DEM,dem,47.87,113196,active,0.53
AK-SEN,2,C-0002,Dan S. Sullivan,REP,rep,48.92,115671,active,0.53
AK-SEN,2,C-1062,Daniel J. Sullivan Jr.,NPA,,2.67,6315,eliminated,0.53
AK-SEN,3,C-0001,Mary Peltola,DEM,dem,48.6,114914,active,1.75
AK-SEN,3,C-0002,Dan S. Sullivan,REP,rep,49.65,117389,elected,1.75
AK-01,1,C-0145,Nick Begich III,REP,rep,49.77,117678,active,0.0
AK-01,1,C-1013,Bill Hill,IND,ind,45.23,106946,active,0.0
AK-01,1,C-1063,Eric Hafner,DEM,,3.8,8985,active,0.0
AK-01,1,C-1071,"James C. ""Jim"" McDermott",LIB,,1.2,2837,eliminated,0.0
AK-01,2,C-0145,Nick Begich III,REP,rep,50.24,118792,active,0.24
AK-01,2,C-1013,Bill Hill,IND,ind,45.62,107858,active,0.24
AK-01,2,C-1063,Eric Hafner,DEM,,3.9,9228,eliminated,0.24
AK-01,3,C-0145,Nick Begich III,REP,rep,50.8,120114,elected,1.02
AK-01,3,C-1013,Bill Hill,IND,ind,48.18,113918,active,1.02
