race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-8.24,30.2,69.8,Lean R,-13.18,5.43,-8.81,0.0,0.0,-1.06,-13.8,5.56,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,45.15,53.25,1.6,106750,125913,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-20.44,2.4,97.6,Safe R,-29.63,5.43,-21.31,0.0,3.37,-0.48,-30.88,10.45,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-15.5,0.15,0,0,0,39.78,60.22,0.0,630771,954792,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-25.7,0.7,99.3,Safe R,-30.5,5.43,-25.7,0.0,-0.13,-0.51,-31.57,5.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,37.15,62.85,0.0,311841,527616,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.32,76.0,24.0,Likely D,-4.25,5.43,7.55,0.0,6.01,0.36,-5.59,12.9,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.7,36.79,11,6.65,0.257,0,0,0,53.66,46.34,0.0,1273045,1099478,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,28.43,99.7,0.3,Safe D,23.32,5.43,29.64,0.0,0.0,0.89,20.82,7.61,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,53.72,32.15,2,21.57,0.15,0,0,0,64.22,35.78,0.0,7126997,3971547,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,21.14,97.9,2.1,Safe D,11.58,5.43,22.7,0.0,5.7,-0.01,11.29,9.85,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.3,0.15,0,0,0,60.57,39.43,0.0,1353721,881200,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,20.19,97.4,2.6,Safe D,15.88,5.43,20.19,0.0,-1.03,-0.09,14.76,5.43,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,60.1,39.9,0.0,739875,491265,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-4.72,32.5,67.5,Lean R,-10.56,5.43,-5.09,0.0,-0.47,0.51,-13.22,8.5,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,37.78,41.34,14,-3.73,0.272,0,0,0,47.64,52.36,0.0,3646740,4008087,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Rick Jackson,DEM,REP,,REP,4.69,67.4,32.6,Lean D,-1.71,5.43,3.6,0.0,0.0,-0.12,-2.21,6.9,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,51.49,39.89,2,10.87,0.15,0,0,0,52.34,47.66,0.0,1923677,1751369,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,32.36,99.9,0.1,Safe D,25.73,5.43,32.36,0.0,1.67,-0.46,23.56,8.8,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,66.18,33.82,0.0,239376,122315,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.86,64.5,35.5,Lean D,-12.1,5.43,3.48,0.0,10.86,-0.71,-13.45,17.31,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,41.0,1,6.0,0.15,0,0,0,51.93,48.07,0.0,604702,559752,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-43.7,0.0,100.0,Safe R,-36.28,5.43,-43.7,0.0,-12.37,-0.49,-37.52,-6.18,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,28.15,71.85,0.0,178334,455208,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,18.62,96.4,3.6,Safe D,12.91,5.43,18.32,0.0,-0.02,0.0,11.14,7.48,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,0,0,0,59.31,40.69,0.0,2345529,1609208,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Ty Masterson,DEM,REP,,DEM,-11.26,13.9,86.1,Likely R,-16.26,5.43,-11.26,0.0,0.0,-0.43,-16.41,5.15,False,False,,,0.0,0.0,,,0.0,confirmed,projected,,,0,,0.0,0,0,0,44.37,55.63,0.0,412314,517000,0,0,929314
