race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.2266
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.3808
AK-SEN,46.31,46.61,0.0,,0.0,1.7,11,0.1877
AL-02,44.0,45.0,0.0,,0.0,0.0,1,0.8123
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0046
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.2679
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.0351
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0044
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.6447
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.2218
AZ-GOV,42.71,36.77,2.97,IND,0.0,0.0,10,0.0652
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.7405
CA-GOV,55.2,32.44,0.0,,0.0,0.0,3,0.4897
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.0718
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0036
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0005
CT-GOV,49.0,36.0,0.0,,0.0,0.0,1,0.7756
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.3536
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.8123
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.2333
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.0655
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.064
FL-GOV,38.23,41.57,1.8,NPA,0.0,0.0,14,0.134
FL-SEN,36.73,47.8,0.0,,0.0,0.0,3,0.1062
GA-GOV,51.22,46.32,0.0,,0.0,0.0,4,0.5942
GA-SEN,54.7,43.03,0.0,,0.0,0.0,9,0.1959
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0002
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.1539
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0752
IA-GOV,50.38,45.25,0.0,,0.0,0.0,4,0.6553
IA-SEN,47.62,47.09,0.0,,0.0,0.0,8,0.4663
ID-SEN,35.63,41.47,0.0,,0.0,0.0,2,0.2736
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0059
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.0266
KY-06,37.16,37.4,0.0,,0.0,0.0,2,0.5345
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0105
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.31
MA-SEN,52.51,32.08,0.0,,0.0,0.0,7,0.2322
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.016
ME-02,42.48,48.76,0.0,,0.0,0.0,2,0.127
ME-GOV,52.66,39.25,2.78,IND,0.0,0.0,2,0.8377
ME-SEN,54.97,44.98,0.0,,0.0,0.0,2,0.2764
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.1824
MI-07,48.0,46.0,0.0,,0.0,0.0,1,0.9117
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.0206
MI-GOV,44.43,35.22,7.18,IND,0.0,0.0,16,0.1082
MI-SEN,45.47,43.18,0.0,,0.0,0.0,14,0.3722
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0529
MN-02,45.0,40.0,0.0,,0.0,0.0,1,0.7405
MN-GOV,48.65,38.98,0.0,,0.0,0.0,3,0.2122
MN-SEN,49.71,42.88,0.0,,0.0,0.0,4,0.115
MO-02,41.0,44.0,0.0,,0.0,0.0,1,0.4559
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.1469
MT-01,43.87,44.5,0.0,,0.0,4.37,2,0.5311
MT-SEN,28.92,45.17,15.16,IND,0.0,0.0,3,0.7422
NC-01,44.29,40.94,0.25,LIB,0.0,0.0,3,0.3727
NC-10,37.0,52.0,0.0,,0.0,0.0,1,0.0718
NC-14,40.0,48.0,0.0,,0.0,0.0,1,0.0718
NC-SEN,49.28,40.08,0.81,LIB,0.0,0.0,20,0.1459
NE-01,38.0,45.0,0.0,,0.0,0.0,1,0.2872
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0028
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.1309
NE-SEN,47.0,42.8,0.0,,0.0,0.0,3,0.1064
NH-02,49.87,31.71,0.0,,0.0,0.0,6,0.154
NH-GOV,38.17,44.73,0.0,,0.0,0.0,4,0.4628
NH-SEN,46.63,42.63,0.0,,0.0,0.0,16,0.1797
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0001
NJ-07,47.0,43.0,0.0,,0.0,0.0,1,0.4061
NM-02,43.0,41.0,0.0,,0.0,0.0,1,0.2127
NV-GOV,40.44,42.52,0.0,,0.0,0.0,5,0.082
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0088
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.0422
NY-17,51.0,45.0,0.0,,0.0,0.0,1,0.933
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.0422
NY-21,44.0,45.0,0.0,,0.0,0.0,1,0.4559
NY-GOV,50.54,33.74,0.32,LIB,0.0,0.0,14,0.1612
OH-07,43.0,44.0,0.0,,0.0,0.0,1,0.7236
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.1768
OH-GOV,47.65,47.15,0.08,LIB,0.0,0.0,16,0.1832
OH-SEN,48.69,47.86,0.09,LIB,0.0,0.0,14,0.2134
OR-GOV,44.2,47.13,0.0,,0.0,0.0,3,0.3729
PA-01,41.97,47.81,0.0,,0.0,0.0,2,0.0463
PA-07,47.0,43.0,0.0,,0.0,0.0,1,0.9548
PA-08,46.51,45.0,0.0,,0.0,0.0,3,0.4547
PA-10,50.81,44.94,0.0,,0.0,0.0,3,0.065
PA-GOV,51.88,30.24,0.0,,0.0,0.0,9,0.2924
RI-GOV,38.59,21.21,18.93,IND,0.0,0.0,2,0.549
RI-SEN,52.0,34.82,0.0,,0.0,0.0,2,0.4762
SD-SEN,39.47,44.25,0.0,,0.0,0.0,4,0.1234
TN-GOV,27.0,51.0,0.0,,0.0,0.0,2,0.1041
TX-15,47.96,45.98,0.0,,0.0,0.0,2,0.199
TX-23,40.0,42.0,0.0,,0.0,0.0,1,0.0702
TX-28,35.5,44.0,0.0,,0.0,0.0,1,0.7756
TX-34,40.79,43.36,0.0,,0.0,0.0,2,0.4387
TX-GOV,42.26,48.75,0.43,LIB,0.0,0.0,14,0.3379
TX-SEN,45.24,44.43,0.9,LIB,0.0,0.0,18,0.3152
VA-01,41.97,45.92,0.0,,0.0,0.0,2,0.0361
VT-01,57.0,26.0,1.0,IND,0.0,0.0,1,0.7756
VT-GOV,27.0,42.0,3.0,OTH,0.0,0.0,1,0.7756
WA-03,34.0,41.0,0.0,,0.0,0.0,1,0.2176
WA-05,47.0,53.0,0.0,,0.0,0.0,1,0.3969
WI-01,41.0,50.0,0.0,,0.0,0.0,1,0.0787
WI-03,49.96,46.05,0.0,,0.0,0.0,5,0.425
WI-06,39.0,61.0,0.0,,0.0,0.0,1,0.4253
WI-GOV,40.71,39.42,0.0,,0.0,0.0,1,0.0844
