race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.1602
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.2693
AK-SEN,46.31,46.61,0.0,,0.0,1.7,11,0.1327
AL-02,44.0,45.0,0.0,,0.0,0.0,1,0.5743
AL-GOV,40.99,49.01,0.0,,0.0,0.0,2,0.4172
AL-SEN,32.0,47.0,0.0,,0.0,0.0,1,0.8312
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.1895
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.0248
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0031
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.4559
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.1568
AZ-GOV,42.71,36.77,2.97,IND,0.0,0.0,10,0.0461
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.5236
CA-48,48.0,46.0,0.0,,0.0,0.0,1,0.8909
CA-GOV,57.29,33.73,0.0,,0.0,0.0,4,0.4448
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.0508
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0026
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0004
CT-GOV,49.0,36.0,0.0,,0.0,0.0,1,0.5484
FL-08,35.0,44.0,0.0,,0.0,0.0,1,0.9772
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.25
FL-14,46.2,37.5,0.0,,0.0,0.0,1,0.9117
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.5743
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.1649
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.0463
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.0452
FL-GOV,39.46,43.33,1.1,NPA,0.0,0.0,15,0.1453
FL-SEN,40.04,49.3,0.0,,0.0,0.0,4,0.2951
GA-GOV,50.44,45.91,0.0,,0.0,0.0,6,0.5807
GA-SEN,53.98,43.02,0.0,,0.0,0.0,10,0.2107
IA-01,40.0,35.0,11.0,IND,0.0,0.0,2,0.4666
IA-02,38.62,36.14,0.0,,0.0,0.0,2,0.5544
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0532
IA-GOV,50.38,45.25,0.0,,0.0,0.0,4,0.4634
IA-SEN,47.62,47.09,0.0,,0.0,0.0,8,0.3297
ID-01,35.0,45.0,6.0,IND,0.0,0.0,1,0.8909
ID-SEN,35.63,41.47,0.0,,0.0,0.0,2,0.1934
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0042
KS-SEN,43.05,47.11,0.0,,0.0,0.0,2,0.4447
KY-06,37.16,37.4,0.0,,0.0,0.0,2,0.3779
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0075
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.2192
MA-SEN,52.51,32.08,0.0,,0.0,0.0,7,0.1642
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.0113
ME-02,47.91,48.13,0.0,,0.0,0.0,3,0.3709
ME-GOV,52.66,39.25,2.78,IND,0.0,0.0,2,0.5924
ME-SEN,48.49,43.49,0.0,,0.0,0.0,2,0.7492
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.129
MI-07,48.0,46.0,0.0,,0.0,0.0,1,0.6447
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.0146
MI-GOV,44.43,35.22,7.18,IND,0.0,0.0,16,0.0765
MI-SEN,45.47,43.18,0.0,,0.0,0.0,14,0.2632
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0374
MN-02,45.0,40.0,0.0,,0.0,0.0,1,0.5236
MN-GOV,48.65,38.98,0.0,,0.0,0.0,3,0.15
MN-SEN,49.71,42.88,0.0,,0.0,0.0,4,0.0813
MO-02,41.0,44.0,0.0,,0.0,0.0,1,0.3223
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.1039
MT-01,43.87,44.5,0.0,,0.0,4.37,2,0.3756
MT-SEN,25.72,40.93,19.24,IND,0.0,0.0,4,0.6065
