race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.2319
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.3897
AK-SEN,46.31,46.61,0.0,,0.0,1.7,11,0.1921
AL-02,44.0,45.0,0.0,,0.0,0.0,1,0.8312
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0047
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.2742
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.0359
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0045
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.6598
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.227
AZ-GOV,42.71,36.77,2.97,IND,0.0,0.0,10,0.0667
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.7579
CA-GOV,55.2,32.44,0.0,,0.0,0.0,3,0.5011
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.0735
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0037
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0005
CT-GOV,49.0,36.0,0.0,,0.0,0.0,1,0.7937
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.3618
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.8312
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.2387
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.067
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.0655
FL-GOV,38.23,41.57,1.8,NPA,0.0,0.0,14,0.1371
FL-SEN,36.73,47.8,0.0,,0.0,0.0,3,0.1087
GA-GOV,51.22,46.32,0.0,,0.0,0.0,4,0.6081
GA-SEN,54.7,43.03,0.0,,0.0,0.0,9,0.2004
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0002
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.1575
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0769
IA-GOV,50.38,45.25,0.0,,0.0,0.0,4,0.6706
IA-SEN,47.62,47.09,0.0,,0.0,0.0,8,0.4771
ID-SEN,35.63,41.47,0.0,,0.0,0.0,2,0.2799
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0061
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.0272
KY-06,37.16,37.4,0.0,,0.0,0.0,2,0.547
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0108
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.3173
MA-SEN,52.51,32.08,0.0,,0.0,0.0,7,0.2377
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.0164
ME-02,42.48,48.76,0.0,,0.0,0.0,2,0.1299
ME-GOV,52.66,39.25,2.78,IND,0.0,0.0,2,0.8573
ME-SEN,54.97,44.98,0.0,,0.0,0.0,2,0.2829
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.1867
MI-07,48.0,46.0,0.0,,0.0,0.0,1,0.933
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.0211
MI-GOV,44.43,35.22,7.18,IND,0.0,0.0,16,0.1107
MI-SEN,45.47,43.18,0.0,,0.0,0.0,14,0.3809
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0541
MN-02,45.0,40.0,0.0,,0.0,0.0,1,0.7579
MN-GOV,48.65,38.98,0.0,,0.0,0.0,3,0.2171
MN-SEN,49.71,42.88,0.0,,0.0,0.0,4,0.1177
MO-02,41.0,44.0,0.0,,0.0,0.0,1,0.4665
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.1504
MT-01,43.87,44.5,0.0,,0.0,4.37,2,0.5435
MT-SEN,28.92,45.17,15.16,IND,0.0,0.0,3,0.7596
NC-01,44.29,40.94,0.25,LIB,0.0,0.0,3,0.3814
NC-10,37.0,52.0,0.0,,0.0,0.0,1,0.0735
NC-14,40.0,48.0,0.0,,0.0,0.0,1,0.0735
NC-SEN,49.28,40.08,0.81,LIB,0.0,0.0,20,0.1493
NE-01,38.0,45.0,0.0,,0.0,0.0,1,0.2939
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.0029
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.134
NE-SEN,47.0,42.8,0.0,,0.0,0.0,3,0.1089
NH-02,49.87,31.71,0.0,,0.0,0.0,6,0.1576
NH-GOV,38.17,44.73,0.0,,0.0,0.0,4,0.4736
NH-SEN,46.63,42.63,0.0,,0.0,0.0,16,0.1839
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0001
NJ-07,47.0,43.0,0.0,,0.0,0.0,1,0.4156
NM-02,43.0,41.0,0.0,,0.0,0.0,1,0.2176
NV-GOV,40.44,42.52,0.0,,0.0,0.0,5,0.084
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.009
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.0432
NY-17,51.0,45.0,0.0,,0.0,0.0,1,0.9548
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.0432
NY-21,44.0,45.0,0.0,,0.0,0.0,1,0.4665
NY-GOV,50.54,33.74,0.32,LIB,0.0,0.0,14,0.165
OH-07,43.0,44.0,0.0,,0.0,0.0,1,0.7405
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.1809
OH-GOV,47.65,47.15,0.08,LIB,0.0,0.0,16,0.1875
OH-SEN,48.69,47.86,0.09,LIB,0.0,0.0,14,0.2183
OR-GOV,44.2,47.13,0.0,,0.0,0.0,3,0.3817
PA-01,41.97,47.81,0.0,,0.0,0.0,2,0.0474
PA-07,47.0,43.0,0.0,,0.0,0.0,1,0.9772
PA-08,46.51,45.0,0.0,,0.0,0.0,3,0.4653
PA-10,50.81,44.94,0.0,,0.0,0.0,3,0.0665
PA-GOV,51.88,30.24,0.0,,0.0,0.0,9,0.2992
RI-GOV,38.59,21.21,18.93,IND,0.0,0.0,2,0.5618
RI-SEN,52.0,34.82,0.0,,0.0,0.0,2,0.4873
SD-SEN,39.47,44.25,0.0,,0.0,0.0,4,0.1263
TN-GOV,27.0,51.0,0.0,,0.0,0.0,2,0.1066
TX-15,47.96,45.98,0.0,,0.0,0.0,2,0.2036
TX-23,40.0,42.0,0.0,,0.0,0.0,1,0.0718
TX-28,35.5,44.0,0.0,,0.0,0.0,1,0.7937
