race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,47.42,57.54,95.3,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,20.7,42.46,4.7,0
AK-GOV,C-1061,Dave Bronson,REP,,0,16.77,0.0,0.0,0
AK-GOV,C-1068,Treg Taylor,REP,,0,15.11,0.0,0.0,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,48.23,49.89,48.3,0
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,48.11,50.11,51.7,1
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.16,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.56,50.56,55.8,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.44,49.44,44.2,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.76,51.38,62.8,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.24,48.62,37.2,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,65.87,65.87,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,34.13,34.13,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,47.87,47.87,32.7,0
ME-02,C-0538,Paul LePage,REP,rep,0,52.13,52.13,67.3,1
