race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,fundamentals,fundraising,candidates,demo_env,pres_2024,swing_24_26,rcv,threeway,oth_party,rcv_field,rcv_winner_name,rcv_exhausted,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_funds,rep_funds,ind_funds,dem_coh,rep_coh,ind_coh,dem_outside,rep_outside,dem_spent,rep_spent,ind_spent,dem_small,rep_small,ind_small,dem_pac,rep_pac,ind_pac,dem_self,rep_self,ind_self,dem_debt,rep_debt,ind_debt,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,20.05,97.6,2.4,Safe D,12.91,5.28,20.01,1.84,-0.02,0.0,11.14,8.92,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.3,0.15,25619035,2166962,0,3141018,127990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.03,39.97,0.0,2373844,1580893,0,0,3954737
KS-GOV,governor,KS,GOV,Cindy Holscher,Ty Masterson,DEM,REP,,DEM,-9.35,17.7,82.3,Likely R,-16.42,5.28,-11.57,0.0,0.0,-0.43,-16.41,7.06,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.0,46.0,1,-2.0,0.232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.33,54.67,0.0,421221,508092,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,30.79,99.9,0.1,Safe D,27.8,5.28,33.86,0.0,1.13,-0.34,25.91,4.88,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,53.37,31.99,8,21.37,0.246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.4,34.6,0.0,1590168,841400,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.2,100.0,0.0,Safe D,30.37,5.28,39.0,0.0,3.43,-0.08,29.51,6.69,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,58.0,31.0,1,24.0,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.1,31.9,0.0,1448375,678459,0,0,2126834
ME-GOV,governor,ME,GOV,Hannah Pingree,Robert Charles,DEM,REP,,DEM,11.55,87.4,12.6,Likely D,7.36,5.28,11.67,0.0,0.0,-0.97,7.09,4.47,False,False,IND,0,,0.0,Rick Bennett,5.69,0.0,,,0.0,confirmed,confirmed,50.81,38.39,4,12.42,0.221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.6,41.71,0.0,306132,242717,0,33114,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.29,88.8,11.2,Likely D,-0.43,5.28,14.41,0.21,9.97,-0.63,-1.44,13.73,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.21,42.16,24,7.37,0.3,5958887,4492470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.15,43.85,0.0,2225829,1738433,0,0,3964262
MN-GOV,governor,MN,GOV,Amy Klobuchar,Lisa Demuth,DEM,REP,,DEM,11.74,87.7,12.3,Likely D,4.83,5.28,10.84,1.57,-0.12,-0.72,4.34,7.39,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,51.72,36.25,4,15.46,0.193,9312380,1102119,0,4480911,457944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.87,44.13,0.0,1272523,1005221,0,0,2277744
NE-GOV,governor,NE,GOV,Lynne Walz,Jim Pillen,DEM,REP,REP,REP,-17.66,4.1,95.9,Safe R,-20.91,5.28,-19.36,0.0,-3.25,-0.48,-20.84,3.19,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,33.0,38.0,1,-8.0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.17,58.83,0.0,272977,390034,0,0,663011
NH-GOV,governor,NH,GOV,Cinde Warmington,Kelly Ayotte,DEM,REP,REP,REP,-12.15,11.5,88.5,Likely R,3.63,5.28,-13.05,-1.31,-19.79,-0.86,2.82,-14.97,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,presumptive,38.47,47.97,6,-9.5,0.252,606192,3694856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.92,56.08,0.0,254022,324311,0,0,578332
NM-GOV,governor,NM,GOV,Deb Haaland,Gregg Hull,DEM,REP,,DEM,9.69,83.1,16.9,Likely D,7.41,5.28,9.37,1.95,-6.39,1.12,6.14,3.55,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,45.55,35.12,3,10.53,0.272,13910580,987856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.84,45.16,0.0,354499,291878,0,0,646377
NV-GOV,governor,NV,GOV,Aaron Ford,Joe Lombardo,DEM,REP,REP,REP,2.83,61.2,38.8,Lean D,-1.57,5.28,5.43,0.47,0.85,0.4,-3.15,5.99,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,43.14,49.05,10,-4.94,0.25,4285307,2275075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.42,48.58,0.0,534262,504806,0,0,1039067
NY-GOV,governor,NY,GOV,Kathy Hochul,Bruce Blakeman,DEM,REP,DEM,DEM,13.34,90.6,9.4,Likely D,15.56,5.28,13.63,0.16,-7.5,0.13,12.68,0.66,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,49.45,36.89,17,12.62,0.283,16594119,13445025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.67,43.33,0.0,3294534,2518965,0,0,5813499
OH-GOV,governor,OH,GOV,Amy Acton,Vivek Ramaswamy,DEM,REP,,REP,-4.66,32.1,67.9,Lean R,-10.38,5.28,-6.27,-0.48,0.0,-0.69,-11.31,6.65,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.69,48.29,19,-0.71,0.289,15928993,30306297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.67,52.33,0.0,1923698,2111814,0,0,4035512
OK-GOV,governor,OK,GOV,Cyndi Munson,Mike Mazzei,DEM,REP,,REP,-30.28,0.1,99.9,Safe R,-34.86,5.28,-30.28,0.0,0.0,-0.7,-34.95,4.67,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.86,65.14,0.0,382139,714083,0,0,1096222
OR-GOV,governor,OR,GOV,Tina Kotek,Christine Drazan,DEM,REP,DEM,DEM,5.69,71.4,28.6,Lean D,15.18,5.28,6.71,0.0,-13.29,-0.46,14.89,-9.2,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,44.2,47.13,3,-0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.85,47.15,0.0,830615,741159,0,0,1571774
PA-GOV,governor,PA,GOV,Josh Shapiro,Stacy Garrity,DEM,REP,DEM,DEM,17.54,95.8,4.2,Safe D,-0.99,5.28,17.33,1.95,11.61,-0.53,-1.75,19.3,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,54.09,36.01,14,18.07,0.292,34960533,2545436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.77,41.23,0.0,2893699,2029918,0,0,4923617
RI-GOV,governor,RI,GOV,Helena Foulkes,Elaine Pelino,DEM,REP,,DEM,20.24,97.7,2.3,Safe D,15.75,5.28,20.83,0.0,0.0,-0.2,14.16,6.08,False,False,IND,0,,0.0,Ken Block,18.0,0.0,,,0.0,presumptive,projected,42.0,20.0,1,22.0,0.269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.3,32.7,0.0,177160,117505,0,64683,359348
SC-GOV,governor,SC,GOV,Jermaine Johnson,Alan Wilson,DEM,REP,,REP,-10.21,15.6,84.4,Likely R,-16.61,5.28,-10.17,1.47,0.07,-0.39,-18.12,7.91,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.66,47.0,2,-10.33,0.223,753609,62585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9,55.1,0.0,800802,982896,0,0,1783698
SD-GOV,governor,SD,GOV,Dan Ahlers,Larry Rhoden,DEM,REP,REP,REP,-25.79,0.6,99.4,Safe R,-29.41,5.28,-25.79,0.0,-0.64,-1.02,-29.98,4.19,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.11,62.89,0.0,110751,187722,0,0,298473
TN-GOV,governor,TN,GOV,Jerri Green,Marsha Blackburn,DEM,REP,,REP,-16.93,4.8,95.2,Safe R,-28.6,5.28,-20.13,0.0,3.73,-0.54,-30.12,13.19,False,False,IND,0,,0.0,Lauren Pinkston,7.32,0.0,,,0.0,confirmed,confirmed,33.2,49.82,3,-16.62,0.233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.49,54.19,0.0,825619,1162144,0,156996,2144759
TX-GOV,governor,TX,GOV,Gina Hinojosa,Greg Abbott,DEM,REP,REP,REP,-8.58,19.8,80.2,Likely R,-11.93,5.28,-10.53,-1.58,-3.33,1.04,-13.88,5.3,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,44.09,48.26,24,-4.25,0.31,8589462,71434049,0,3002416,67461299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.71,54.29,0.0,3649022,4334147,0,0,7983170
VT-GOV,governor,VT,GOV,Amanda Janoo,Phil Scott,DEM,REP,REP,REP,-22.76,1.3,98.7,Safe R,33.44,5.28,-24.81,0.0,-62.58,-0.95,32.77,-55.54,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,30.95,43.32,2,-12.37,0.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.62,61.38,0.0,99864,158732,0,0,258595
WI-GOV,governor,WI,GOV,David Crowley,Tom Tiffany,DEM,REP,,DEM,2.72,60.8,39.2,Lean D,-0.43,5.28,2.71,-1.76,0.28,-0.66,-0.87,3.6,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.33,43.81,6,2.75,0.295,1426778,15315779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.36,48.64,0.0,1230656,1165386,0,0,2396043
WY-GOV,governor,WY,GOV,Kenneth Casner,Eric Barlow,DEM,REP,,REP,-42.13,0.0,100.0,Safe R,-46.77,5.28,-42.13,0.0,0.0,-0.64,-46.96,4.83,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,0,1673103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.94,71.06,0.0,54496,133838,0,0,188334
AK-SEN,senate,AK,SEN,Mary Peltola,Dan Sullivan,DEM,REP,REP,REP,-1.35,45.9,54.1,Toss-up,-12.09,5.28,-3.38,0.38,4.11,-1.06,-13.8,11.62,True,False,,4,Dan S. Sullivan,1.75,,0.0,0.0,,,0.0,confirmed,confirmed,49.13,48.02,14,0.83,0.272,18545132,9136967,0,4636755,7295069,0,7911793,10917902,13908377,3932803,0,6750626,558386,0,603646,1998758,0,0,0,0,0,0,0,47.66,49.84,2.5,112696,117839,5911,0,236446
AL-SEN,senate,AL,SEN,Everett Wess,Barry Moore,DEM,REP,,REP,-22.89,1.2,98.8,Safe R,-26.81,5.28,-24.28,-3.2,0.93,-0.48,-30.88,7.99,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,32.0,47.0,1,-15.0,0.15,83341,3787330,0,-10011,627788,0,3019,17142534,94747,3284673,0,4247,346554,0,0,881598,0,70643,50000,0,0,360928,0,38.56,61.44,0.0,611322,974241,0,0,1585563
AR-SEN,senate,AR,SEN,Hallie Shoffner,Tom Cotton,DEM,REP,REP,REP,-21.58,1.7,98.3,Safe R,-28.08,5.28,-25.84,-0.87,-1.67,-0.51,-31.57,9.99,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,39.64,48.37,4,-8.89,0.252,2269114,6233117,0,863578,9931885,0,0,3244245,1405536,3752101,0,807603,552197,0,20060,1191500,0,0,0,0,0,73959,0,39.21,60.79,0.0,329168,510288,0,0,839457
CO-SEN,senate,CO,SEN,John Hickenlooper,Mark Baisley,DEM,REP,DEM,DEM,24.77,99.2,0.8,Safe D,13.1,5.28,24.77,2.84,3.55,-0.01,11.29,13.47,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,8119380,138147,0,2083870,50021,0,510004,0,7471143,88913,0,1302169,28371,0,958273,999,0,0,2200,0,0,0,0,62.38,37.62,0.0,1394225,840697,0,0,2234922
DE-SEN,senate,DE,SEN,Chris Coons,Michael Katz,DEM,REP,DEM,DEM,24.49,99.2,0.8,Safe D,15.57,5.28,24.49,2.25,1.67,-0.28,14.84,9.65,False,False,,0,,0.0,,0.0,0.0,,,0.0,presumptive,presumptive,,,0,,0.0,4168081,159367,0,4793384,98413,0,11559,0,1559897,60954,0,60175,5698,0,1408377,300,0,0,129260,0,0,129250,0,62.24,37.76,0.0,222547,134995,0,0,357542
FL-SEN,senate,FL,SEN,Angie Nixon,Ashley Moody,DEM,REP,REP,REP,-6.91,24.7,75.3,Likely R,-8.74,5.28,-6.41,-1.8,-1.67,0.51,-13.22,6.31,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,40.04,49.3,4,-9.25,0.175,974845,11270805,0,264978,8491175,0,52168,603843,709866,2779629,0,576840,1529142,0,0,2083000,0,0,0,0,0,0,0,46.54,53.46,0.0,3562913,4091913,0,0,7654826
GA-SEN,senate,GA,SEN,Jon Ossoff,Mike Collins,DEM,REP,DEM,DEM,12.36,88.9,11.1,Likely D,-0.79,5.28,12.8,1.7,6.73,-0.12,-2.21,14.57,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,53.62,42.98,11,11.11,0.257,77279766,7409350,0,42587451,2079981,0,956052,1655786,39682882,5932539,0,39110515,2085895,0,931316,495632,0,0,65000,0,0,461916,0,56.18,43.82,0.0,2064706,1610340,0,0,3675046
IA-SEN,senate,IA,SEN,Josh Turek,Ashley Hinson,DEM,REP,,REP,-2.68,39.4,60.6,Lean R,-7.51,5.28,-3.96,-0.09,-0.93,-0.71,-13.45,10.76,False,False,LIB,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,45.42,47.0,13,-1.62,0.321,6276527,10217845,0,2362314,6749491,0,17066920,9863738,3914213,5396429,0,2726556,1052135,0,440127,2232367,0,0,0,0,0,0,0,47.38,49.99,2.63,551702,582127,30625,0,1164454
ID-SEN,senate,ID,SEN,(No Democrat),Jim Risch,DEM,REP,REP,REP,-24.61,0.8,99.2,Safe R,-31.38,5.28,-29.4,-1.14,-1.67,-0.49,-37.52,12.91,False,True,IND,0,,0.0,Todd Achilles,37.7,0.8,,,0.0,,confirmed,29.96,39.02,5,-10.56,0.254,0,3357516,692245,0,3535956,194226,0,0,0,2241925,506311,0,139910,115721,0,959329,10000,0,0,10500,0,0,0,0.0,62.3,0.0,0,394719,0,238824,633543
IL-SEN,senate,IL,SEN,Juliana Stratton,Don Tracy,DEM,REP,,DEM,20.73,97.9,2.1,Safe D,15.14,5.28,20.73,0.32,0.0,0.0,11.14,9.6,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,5906599,2459890,0,1107958,1512424,0,10437456,11068156,4798641,947466,0,1182892,27050,0,426634,12325,0,0,2000000,0,0,2000000,0,60.37,39.63,0.0,2387373,1567364,0,0,3954737
KS-SEN,senate,KS,SEN,Adam Hamilton,Roger Marshall,DEM,REP,REP,REP,-9.16,18.2,81.8,Likely R,-14.66,5.28,-10.99,-0.1,-1.09,-0.43,-16.41,7.25,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,43.78,44.12,4,-3.35,0.24,4169078,4009075,0,1730621,5388078,0,0,2202075,2438457,326015,0,767189,151384,0,17500,1555250,0,50050,0,0,50000,0,0,45.42,54.58,0.0,422090,507223,0,0,929314
KY-SEN,senate,KY,SEN,Charles Booker,Andy Barr,DEM,REP,,REP,-28.67,0.2,99.8,Safe R,-30.07,5.28,-31.26,-0.86,-4.86,-0.75,-31.03,2.36,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,38.0,49.0,1,-14.0,0.15,1099509,9981055,0,309623,2305546,0,8306596,6980575,789887,11368587,0,654554,729356,0,24750,1995311,0,0,0,0,89868,0,0,35.67,64.33,0.0,517917,934252,0,0,1452169
LA-SEN,senate,LA,SEN,Jamie Davis,Julia Letlow,DEM,REP,,REP,-23.98,0.9,99.1,Safe R,-21.43,5.28,-23.98,-0.45,-7.1,-0.28,-22.36,-1.62,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,1983548,6210122,0,479104,1427072,0,10861766,12093658,1504444,4783049,0,1699034,127995,0,0,824000,0,10000,0,0,10000,0,0,38.01,61.99,0.0,533991,870892,0,0,1404882
MA-SEN,senate,MA,SEN,Ed Markey,John Deaton,DEM,REP,DEM,DEM,32.29,99.9,0.1,Safe D,29.02,5.28,36.14,0.52,1.67,-0.34,25.91,6.38,False,False,,0,,0.0,,0.0,0.0,,,0.0,presumptive,presumptive,50.61,30.23,9,20.39,0.244,5352148,1561360,0,1348676,712417,0,42917,3329005,5814159,848943,0,804613,71926,0,589250,5775,0,0,1053414,0,0,1005000,0,66.15,33.85,0.0,1608416,823152,0,0,2431568
ME-SEN,senate,ME,SEN,Troy Jackson,Susan Collins,DEM,REP,REP,REP,0.25,51.2,48.8,Toss-up,8.48,5.28,-0.76,0.0,-13.55,-0.97,7.09,-6.84,True,False,,2,Troy Jackson,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,47.26,44.4,6,2.56,0.305,0,16169827,0,0,11038115,0,5454222,19997806,0,7708021,0,0,1425763,0,0,1263550,0,0,0,0,0,0,0,50.13,49.87,0.0,291718,290244,0,0,581962
MI-SEN,senate,MI,SEN,Abdul El-Sayed,Mike Rogers,DEM,REP,,DEM,5.67,71.3,28.7,Lean D,3.0,5.28,7.78,-0.31,0.44,-0.63,-1.44,7.11,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.06,44.71,26,1.47,0.335,14514336,10898177,0,2552763,4473237,0,11455652,50951115,11961573,6680643,0,4142626,2220167,0,71845,849227,0,0,0,0,0,0,0,52.83,47.17,0.0,2094513,1869749,0,0,3964262
MN-SEN,senate,MN,SEN,Peggy Flanagan,Michele Tafoya,DEM,REP,,DEM,9.95,83.8,16.2,Likely D,6.68,5.28,11.15,-0.09,0.0,-0.72,4.34,5.6,False,False,,0,,0.0,,0.0,0.0,,,0.0,confirmed,confirmed,46.18,41.09,5,4.99,0.195,6517348,5337942,0,1058604,1372728,0,1746564,7920529,5458744,3965545,0,2913200,2464154,0,177992,229000,0,7000,7878,0,0,294847,0,54.97,45.03,0.0,1252169,1025575,0,0,2277744
MS-SEN,senate,MS,SEN,Scott Colom,Cindy Hyde-Smith,DEM,REP,REP,REP,-13.2,9.6,90.4,Likely R,-21.48,5.28,-14.11,-0.15,2.62,-0.37,-23.15,9.95,False,False,IND,0,,0.0,Ty Pinkins,3.54,0.0,,,0.0,confirmed,confirmed,39.49,45.44,2,-8.95,0.211,2384921,3825455,98038,847046,2535896,5352,2235385,98645,1537875,1759323,98301,351461,98642,64618,312330,1182050,0,25193,0,0,61083,60000,0,41.86,54.6,0.0,359869,469306,0,30430,859605
MT-SEN,senate,MT,SEN,Alani Bankhead,Kurt Alme,DEM,REP,,REP,-29.3,0.3,99.6,Safe R,-13.86,5.28,-9.23,0.36,0.0,-1.01,-20.58,-8.72,False,True,IND,0,,0.0,Seth Bodnar,21.83,0.2,,,0.0,confirmed,confirmed,29.54,44.7,6,-16.15,0.253,58829,1984861,3238151,21485,1450719,977779,5394980,3314938,37011,534142,2260371,18727,88310,369366,6627,639500,93050,6522,0,0,0,0,0,22.6,51.9,3.66,95400,219076,15448,92150,422074
