race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,45.58,55.97,87.7,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,21.42,44.03,9.2,0
AK-GOV,C-1061,Dave Bronson,REP,,0,17.35,0.0,1.7,0
AK-GOV,C-1068,Candice English,REP,,0,15.64,0.0,1.4,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,47.75,49.41,45.9,0
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,48.57,50.59,54.1,1
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.17,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.36,50.36,53.1,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.64,49.64,46.9,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.82,51.37,61.7,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.18,48.63,38.3,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,65.57,65.57,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,34.43,34.43,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,47.58,47.58,30.5,0
ME-02,C-0538,Paul LePage,REP,rep,0,52.42,52.42,69.5,1
