race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-SEN,46.55,45.68,0.0,,0.0,0.0,4,0.085
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.2618
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.2524
AZ-06,42.0,41.0,0.0,,0.0,0.0,1,0.134
AZ-GOV,47.43,37.32,0.0,,0.0,0.0,7,0.1229
CA-22,44.0,42.0,0.0,,0.0,0.0,1,0.0278
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.2078
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0305
FL-GOV,34.02,40.01,1.95,IND,0.0,0.0,5,0.0698
GA-SEN,42.94,41.33,0.0,,0.0,0.0,5,0.0195
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0088
IA-03,45.0,42.0,0.0,,0.0,0.0,1,0.1768
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.3376
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.6015
MA-GOV,51.0,26.0,0.0,,0.0,0.0,1,0.1851
MA-SEN,53.92,30.95,0.0,,0.0,0.0,2,0.1653
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.9117
ME-SEN,49.0,41.0,0.0,,0.0,0.0,1,0.25
MI-04,42.0,44.0,0.0,,0.0,0.0,1,0.315
MI-GOV,37.07,38.14,15.2,IND,0.0,0.01,8,0.2992
MI-SEN,39.47,46.04,0.0,,0.0,0.0,4,0.3497
MN-SEN,48.0,45.0,0.0,,0.0,0.0,2,0.0146
NC-SEN,46.98,41.22,0.0,,0.0,0.0,7,0.1967
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.1612
NE-SEN,45.0,46.0,0.0,,0.0,0.0,1,0.0014
NH-02,42.41,35.16,0.0,,0.0,0.0,3,0.1415
NH-GOV,40.0,43.0,0.0,,0.0,0.0,1,0.1279
NH-SEN,43.95,39.12,0.0,,0.0,0.0,8,0.2332
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0046
NV-GOV,40.36,40.9,0.0,,0.0,0.0,2,0.2109
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.5
NY-GOV,50.19,34.06,2.61,LIB,0.0,0.0,4,0.5352
OH-GOV,45.11,45.63,0.0,,0.0,0.0,8,0.1504
OH-SEN,46.28,48.8,0.0,,0.0,0.0,5,0.1273
PA-01,41.0,41.0,0.0,,0.0,0.0,1,0.1221
PA-08,45.0,43.0,0.0,,0.0,0.0,1,0.0442
PA-10,47.91,43.95,0.0,,0.0,0.0,2,0.1577
PA-GOV,54.87,38.61,0.0,,0.0,0.0,2,0.0915
SD-SEN,30.8,43.8,0.0,,0.0,0.0,2,0.1455
TN-GOV,28.0,49.0,0.0,,0.0,0.0,1,0.0272
TX-15,38.0,41.0,0.0,,0.0,0.0,1,0.0611
TX-GOV,43.0,49.0,0.0,,0.0,0.0,1,0.0452
TX-SEN,43.21,44.05,0.0,,0.0,0.0,3,0.1555
VA-01,40.0,41.0,0.0,,0.0,0.0,1,0.0285
WI-03,44.0,42.0,0.0,,0.0,0.0,1,0.134
WI-GOV,40.0,43.0,0.0,,0.0,0.0,1,0.0947
