race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.1841
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.3093
AK-SEN,46.31,46.61,0.0,,0.0,1.7,11,0.1524
AL-02,44.0,45.0,0.0,,0.0,0.0,1,0.6598
AL-GOV,40.99,49.01,0.0,,0.0,0.0,2,0.4793
AL-SEN,32.0,47.0,0.0,,0.0,0.0,1,0.9548
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.2176
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.0285
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0036
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.5236
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.1801
AZ-GOV,42.71,36.77,2.97,IND,0.0,0.0,10,0.0529
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.6015
CA-GOV,57.29,33.73,0.0,,0.0,0.0,4,0.511
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.0583
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.003
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0004
CT-GOV,49.0,36.0,0.0,,0.0,0.0,1,0.63
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.2872
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.6598
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.1895
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.0532
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.052
FL-GOV,38.23,41.57,1.8,NPA,0.0,0.0,14,0.1088
FL-SEN,36.73,47.8,0.0,,0.0,0.0,3,0.0863
GA-GOV,51.18,45.89,0.0,,0.0,0.0,5,0.5861
GA-SEN,54.7,43.03,0.0,,0.0,0.0,9,0.1591
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0001
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.125
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0611
IA-GOV,50.38,45.25,0.0,,0.0,0.0,4,0.5323
IA-SEN,47.62,47.09,0.0,,0.0,0.0,8,0.3787
ID-SEN,35.63,41.47,0.0,,0.0,0.0,2,0.2222
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0048
KS-SEN,43.05,47.11,0.0,,0.0,0.0,2,0.5108
KY-06,37.16,37.4,0.0,,0.0,0.0,2,0.4341
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0086
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.2518
MA-SEN,52.51,32.08,0.0,,0.0,0.0,7,0.1886
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.013
ME-02,42.48,48.76,0.0,,0.0,0.0,2,0.1031
ME-GOV,52.66,39.25,2.78,IND,0.0,0.0,2,0.6804
ME-SEN,48.49,43.49,0.0,,0.0,0.0,2,0.8606
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.1482
MI-07,48.0,46.0,0.0,,0.0,0.0,1,0.7405
