race_code,race_type,state,district,dem_name,rep_name,dem_party,rep_party,incumbent_party,seat_holder,margin,dem_prob,rep_prob,rating,lean,gcb,pres_2024,swing_24_26,rcv,threeway,oth_party,ind_name,ind_pct,ind_prob,same_party,cand2_name,cand1_prob,dem_status,rep_status,poll_dem,poll_rep,poll_count,polling_avg,polling_weight,dem_pct,rep_pct,oth_pct,dem_votes,rep_votes,oth_votes,ind_votes,total_votes
AK-GOV,governor,AK,GOV,Tom Begich,Click Bishop,DEM,REP,,REP,-5.0,37.6,62.4,Lean R,-13.18,5.41,-13.8,8.8,True,False,,,0.0,0.0,,,0.0,confirmed,confirmed,52.26,42.66,6,9.600000000000001,0.21,46.74,51.66,1.6,110516,122147,3783,0,236446
AL-GOV,governor,AL,GOV,Doug Jones,Tommy Tuberville,DEM,REP,,REP,-21.3,2.0,98.0,Safe R,-29.63,5.41,-30.88,9.58,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,34.1,52.6,1,-18.5,0.15,39.35,60.65,0.0,623901,961662,0,0,1585563
AR-GOV,governor,AR,GOV,Fredrick Love,Sarah Huckabee Sanders,DEM,REP,REP,REP,-26.23,0.6,99.4,Safe R,-30.5,5.41,-31.57,5.33,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,36.88,63.12,0.0,309616,529840,0,0,839457
AZ-GOV,governor,AZ,GOV,Katie Hobbs,Andy Biggs,DEM,REP,DEM,DEM,7.51,76.5,23.5,Likely D,-4.25,5.41,-5.59,13.1,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,42.53,36.14,11,6.390000000000001,0.257,53.75,46.25,0.0,1275340,1097184,0,0,2372523
CA-GOV,governor,CA,GOV,Xavier Becerra,Steve Hilton,DEM,REP,,DEM,29.18,99.8,0.2,Safe D,23.32,5.41,20.82,8.36,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,55.05,33.37,2,21.68,0.15,64.59,35.41,0.0,7168478,3930066,0,0,11098543
CO-GOV,governor,CO,GOV,Michael Bennet,Barbara Kirkmeyer,DEM,REP,,DEM,21.13,97.9,2.1,Safe D,11.58,5.41,11.29,9.83,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.1,37.8,1,12.300000000000004,0.15,60.56,39.44,0.0,1353531,881390,0,0,2234922
CT-GOV,governor,CT,GOV,Ned Lamont,Ryan Fazio,DEM,REP,DEM,DEM,18.28,96.1,3.9,Safe D,15.88,5.41,14.76,3.52,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.0,42.0,1,8.0,0.15,59.14,40.86,0.0,728093,503047,0,0,1231140
FL-GOV,governor,FL,GOV,David Jolly,Byron Donalds,DEM,REP,,REP,-4.27,34.0,66.0,Lean R,-10.56,5.41,-13.22,8.95,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,39.22,42.62,16,-3.3999999999999986,0.28,47.86,52.14,0.0,3663909,3990917,0,0,7654826
GA-GOV,governor,GA,GOV,Keisha Lance Bottoms,Burt Jones,DEM,REP,,REP,-0.76,47.1,52.9,Toss-up,-1.71,5.41,-2.21,1.45,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.23,41.68,2,8.549999999999997,0.15,49.62,50.38,0.0,1823517,1851530,0,0,3675046
HI-GOV,governor,HI,GOV,Josh Green,Gary Cordery,DEM,REP,DEM,DEM,31.87,99.9,0.1,Safe D,25.73,5.41,23.56,8.31,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,65.94,34.06,0.0,238490,123201,0,0,361691
IA-GOV,governor,IA,GOV,Rob Sand,Zach Lahn,DEM,REP,,REP,3.83,64.4,35.6,Lean D,-12.1,5.41,-13.45,17.28,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,50.37,40.41,3,9.96,0.15,51.92,48.08,0.0,604548,559906,0,0,1164454
ID-GOV,governor,ID,GOV,Terri Pickens,Brad Little,DEM,REP,REP,REP,-44.21,0.0,100.0,Safe R,-36.28,5.41,-37.52,-6.69,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,27.89,72.11,0.0,176719,456824,0,0,633543
IL-GOV,governor,IL,GOV,JB Pritzker,Darren Bailey,DEM,REP,DEM,DEM,18.61,96.3,3.7,Safe D,12.91,5.41,11.14,7.47,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,54.3,34.0,1,20.299999999999997,0.15,59.31,40.69,0.0,2345361,1609376,0,0,3954737
KS-GOV,governor,KS,GOV,Ethan Corson,Vicki Schmidt,DEM,REP,,DEM,-13.56,9.6,90.4,Likely R,-16.26,5.41,-16.41,2.85,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,43.22,56.78,0.0,401642,527672,0,0,929314
MA-GOV,governor,MA,GOV,Maura Healey,Mike Minogue,DEM,REP,DEM,DEM,31.71,99.9,0.1,Safe D,27.69,5.41,25.91,5.8,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,55.17,30.34,6,24.830000000000002,0.21,65.85,34.15,0.0,1601300,830267,0,0,2431568
MD-GOV,governor,MD,GOV,Wes Moore,Dan Cox,DEM,REP,DEM,DEM,36.27,100.0,0.0,Safe D,30.41,5.41,29.51,6.76,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,49.33,29.04,2,20.29,0.15,68.13,31.87,0.0,1449082,677752,0,0,2126834
ME-GOV,governor,ME,GOV,Shenna Bellows,Jonathan Bush,DEM,REP,,DEM,10.95,85.4,14.6,Likely D,7.49,5.41,7.09,3.87,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,,,0,,0.0,55.48,44.52,0.0,322858,259105,0,0,581962
MI-GOV,governor,MI,GOV,Jocelyn Benson,John James,DEM,REP,,DEM,12.42,88.4,11.6,Likely D,-0.36,5.41,-1.44,13.86,False,False,,,0.0,0.0,,,0.0,confirmed,confirmed,40.09,31.12,16,8.970000000000002,0.28,56.21,43.79,0.0,2228265,1735997,0,0,3964262
