race_code,poll_dem,poll_rep,poll_oth,poll_oth_party,poll_dem2,poll_rep2,poll_count,poll_recency
AK-01,46.17,50.17,0.0,,0.0,0.0,2,0.2429
AK-GOV,46.99,37.94,0.0,,0.0,6.88,3,0.4082
AK-SEN,46.31,46.61,0.0,,0.0,1.7,11,0.2011
AL-02,44.0,45.0,0.0,,0.0,0.0,1,0.8706
AL-GOV,34.1,52.6,0.0,,0.0,0.0,1,0.0049
AR-02,46.5,42.0,0.0,,0.0,0.0,1,0.2872
AR-SEN,36.0,58.0,0.0,,0.0,0.0,1,0.0376
AZ-01,42.71,42.94,0.0,,0.0,0.0,2,0.0047
AZ-02,41.0,44.0,7.0,LIB,0.0,0.0,1,0.691
AZ-06,46.96,44.87,0.0,,0.0,0.0,3,0.2377
AZ-GOV,42.71,36.77,2.97,IND,0.0,0.0,10,0.0698
CA-22,48.0,44.0,0.0,,0.0,0.0,1,0.7937
CA-GOV,55.2,32.44,0.0,,0.0,0.0,3,0.5248
CO-03,37.0,47.0,0.0,,0.0,0.0,1,0.0769
CO-05,40.0,43.0,5.0,IND,0.0,0.0,1,0.0039
CO-GOV,50.1,37.8,0.0,,0.0,0.0,1,0.0006
CT-GOV,49.0,36.0,0.0,,0.0,0.0,1,0.8312
FL-13,39.0,41.0,0.0,,0.0,0.0,1,0.3789
FL-22,43.0,45.0,0.0,,0.0,0.0,1,0.8706
FL-25,42.9,32.7,0.0,,0.0,0.0,1,0.25
FL-27,43.0,46.0,0.0,,0.0,0.0,1,0.0702
FL-28,41.0,45.0,0.0,,0.0,0.0,1,0.0686
FL-GOV,38.23,41.57,1.8,NPA,0.0,0.0,14,0.1436
FL-SEN,36.73,47.8,0.0,,0.0,0.0,3,0.1139
GA-GOV,51.22,46.32,0.0,,0.0,0.0,4,0.6369
GA-SEN,54.7,43.03,0.0,,0.0,0.0,9,0.2099
IA-01,43.0,39.0,0.0,,0.0,0.0,1,0.0002
IA-02,36.0,33.0,0.0,,0.0,0.0,1,0.1649
IA-03,42.0,48.0,0.0,,0.0,0.0,1,0.0806
IA-GOV,50.38,45.25,0.0,,0.0,0.0,4,0.7023
IA-SEN,47.62,47.09,0.0,,0.0,0.0,8,0.4997
ID-SEN,35.63,41.47,0.0,,0.0,0.0,2,0.2932
IL-GOV,54.3,34.0,0.0,,0.0,0.0,1,0.0063
KS-SEN,46.0,54.0,0.0,,0.0,0.0,1,0.0285
KY-06,37.16,37.4,0.0,,0.0,0.0,2,0.5728
KY-SEN,38.0,49.0,0.0,,0.0,0.0,1,0.0113
MA-GOV,53.79,31.4,0.0,,0.0,0.0,6,0.3323
MA-SEN,52.51,32.08,0.0,,0.0,0.0,7,0.2489
MD-GOV,49.9,28.0,0.0,,0.0,0.0,1,0.0171
ME-02,42.48,48.76,0.0,,0.0,0.0,2,0.1361
ME-GOV,52.66,39.25,2.78,IND,0.0,0.0,2,0.8978
ME-SEN,54.97,44.98,0.0,,0.0,0.0,2,0.2962
MI-04,47.46,45.22,0.0,,0.0,0.0,3,0.1955
MI-07,48.0,46.0,0.0,,0.0,0.0,1,0.9772
MI-10,44.0,42.0,0.0,,0.0,0.0,1,0.0221
MI-GOV,44.43,35.22,7.18,IND,0.0,0.0,16,0.116
MI-SEN,45.47,43.18,0.0,,0.0,0.0,14,0.3989
MN-01,41.49,47.93,0.0,,0.0,0.0,2,0.0567
MN-02,45.0,40.0,0.0,,0.0,0.0,1,0.7937
MN-GOV,48.65,38.98,0.0,,0.0,0.0,3,0.2274
MN-SEN,49.71,42.88,0.0,,0.0,0.0,4,0.1233
MO-02,41.0,44.0,0.0,,0.0,0.0,1,0.4886
MS-SEN,39.0,42.0,6.0,IND,0.0,0.0,1,0.1575
MT-01,43.87,44.5,0.0,,0.0,4.37,2,0.5692
MT-SEN,28.92,45.17,15.16,IND,0.0,0.0,3,0.7955
NC-01,44.29,40.94,0.25,LIB,0.0,0.0,3,0.3994
NC-10,37.0,52.0,0.0,,0.0,0.0,1,0.0769
NC-14,40.0,48.0,0.0,,0.0,0.0,1,0.0769
NC-SEN,49.28,40.08,0.81,LIB,0.0,0.0,20,0.1563
NE-01,38.0,45.0,0.0,,0.0,0.0,1,0.3078
NE-02,46.5,40.5,0.0,,0.0,0.0,1,0.003
NE-GOV,33.0,38.0,12.0,LMN,0.0,0.0,1,0.1403
NE-SEN,47.0,42.8,0.0,,0.0,0.0,3,0.114
NH-02,49.87,31.71,0.0,,0.0,0.0,6,0.165
NH-GOV,38.17,44.73,0.0,,0.0,0.0,4,0.496
NH-SEN,46.63,42.63,0.0,,0.0,0.0,16,0.1926
NJ-02,36.0,46.0,0.0,,0.0,0.0,1,0.0001
NJ-07,47.0,43.0,0.0,,0.0,0.0,1,0.4353
NM-02,43.0,41.0,0.0,,0.0,0.0,1,0.2279
NV-GOV,40.44,42.52,0.0,,0.0,0.0,5,0.0879
NY-01,38.0,41.0,0.0,,0.0,0.0,1,0.0094
NY-04,46.0,41.0,0.0,,0.0,0.0,1,0.0452
NY-17,51.0,45.0,0.0,,0.0,0.0,1,1.0
NY-18,42.0,35.0,0.0,,0.0,0.0,1,0.0452
NY-21,44.0,45.0,0.0,,0.0,0.0,1,0.4886
NY-GOV,51.01,32.77,0.36,LIB,0.0,0.0,13,0.112
OH-07,43.0,44.0,0.0,,0.0,0.0,1,0.7756
OH-09,43.0,47.0,3.0,LIB,0.0,0.0,1,0.1895
OH-GOV,47.65,47.15,0.08,LIB,0.0,0.0,16,0.1964
OH-SEN,48.69,47.86,0.09,LIB,0.0,0.0,14,0.2287
OR-GOV,44.2,47.13,0.0,,0.0,0.0,3,0.3997
PA-01,41.97,47.81,0.0,,0.0,0.0,2,0.0496
PA-08,46.51,45.0,0.0,,0.0,0.0,3,0.4873
PA-10,50.81,44.94,0.0,,0.0,0.0,3,0.0697
PA-GOV,51.88,30.24,0.0,,0.0,0.0,9,0.3134
RI-GOV,38.59,21.21,18.93,IND,0.0,0.0,2,0.5884
RI-SEN,52.0,34.82,0.0,,0.0,0.0,2,0.5104
SD-SEN,39.47,44.25,0.0,,0.0,0.0,4,0.1323
TN-GOV,27.0,51.0,0.0,,0.0,0.0,2,0.1116
TX-15,47.96,45.98,0.0,,0.0,0.0,2,0.2132
TX-23,40.0,42.0,0.0,,0.0,0.0,1,0.0752
TX-28,35.5,44.0,0.0,,0.0,0.0,1,0.8312
TX-34,40.79,43.36,0.0,,0.0,0.0,2,0.4702
TX-GOV,42.26,48.75,0.43,LIB,0.0,0.0,14,0.3622
TX-SEN,45.24,44.43,0.9,LIB,0.0,0.0,18,0.3378
VA-01,41.97,45.92,0.0,,0.0,0.0,2,0.0387
VT-01,57.0,26.0,1.0,IND,0.0,0.0,1,0.8312
VT-GOV,27.0,42.0,3.0,OTH,0.0,0.0,1,0.8312
WA-03,34.0,41.0,0.0,,0.0,0.0,1,0.2333
WA-05,47.0,53.0,0.0,,0.0,0.0,1,0.4253
WI-01,41.0,50.0,0.0,,0.0,0.0,1,0.0844
WI-03,49.96,46.05,0.0,,0.0,0.0,5,0.4555
WI-06,39.0,61.0,0.0,,0.0,0.0,1,0.4559
WI-GOV,40.71,39.42,0.0,,0.0,0.0,1,0.0905
